#numposts,avg(accepted_answers/#num_answers)
1,0.09167370
2,0.16548652
3,0.20089919
4,0.21401323
5,0.22579241
6,0.23688434
7,0.24768851
8,0.25335389
9,0.25769365
10,0.26638040
11,0.26907665
12,0.27576489
13,0.28162151
14,0.28508640
15,0.28736599
16,0.28916843
17,0.29817817
18,0.28531591
19,0.29976615
20,0.30137405
21,0.29475444
22,0.29905466
23,0.29585703
24,0.30675165
25,0.30245348
26,0.29815110
27,0.31207414
28,0.30430546
29,0.31130591
30,0.31441314
31,0.30742693
32,0.30580545
33,0.31580624
34,0.31011637
35,0.31347562
36,0.31429567
37,0.31533136
38,0.31427668
39,0.30887893
40,0.32021281
41,0.30343131
42,0.32563304
43,0.31120368
44,0.30808016
45,0.32024479
46,0.31629689
47,0.31960000
48,0.32425107
49,0.31196715
50,0.31917419
51,0.31509644
52,0.31759731
53,0.32326241
54,0.31062341
55,0.31564243
56,0.31466284
57,0.31167701
58,0.32313118
59,0.32706485
60,0.32276137
61,0.33081128
62,0.31354208
63,0.31156096
64,0.32834192
65,0.31908925
66,0.33605948
67,0.31090537
68,0.32833318
69,0.31818668
70,0.31387519
71,0.32571402
72,0.32721828
73,0.32982566
74,0.33272640
75,0.33043920
76,0.32188115
77,0.32752203
78,0.31977556
79,0.30463387
80,0.33837168
81,0.31601821
82,0.32933404
83,0.33020192
84,0.32753345
85,0.31198182
86,0.32089032
87,0.30759267
88,0.31755201
89,0.32650037
90,0.32639704
91,0.32082958
92,0.31513360
93,0.30587111
94,0.32564557
95,0.32189484
96,0.32625769
97,0.31230748
98,0.31880896
99,0.32512000
100,0.32361535
101,0.32507750
102,0.32703298
103,0.32355222
104,0.33035084
105,0.32849548
106,0.35145902
107,0.33571869
108,0.32721034
109,0.30662905
110,0.35291646
111,0.32338035
112,0.33041892
113,0.32116543
114,0.32895965
115,0.31494494
116,0.32430270
117,0.33190176
118,0.32683139
119,0.33798095
120,0.33656014
121,0.31499030
122,0.33960365
123,0.29895970
124,0.31928220
125,0.33723282
126,0.34622628
127,0.31918815
128,0.34237842
129,0.33278393
130,0.30586949
131,0.30929814
132,0.33428814
133,0.32224717
134,0.31032421
135,0.31825472
136,0.34001538
137,0.31890746
138,0.31735812
139,0.32706549
140,0.35933333
141,0.32123483
142,0.35105905
143,0.34816542
144,0.28460220
145,0.32320127
146,0.32896512
147,0.33588200
148,0.34826495
149,0.31825253
150,0.36426222
151,0.30162195
152,0.33060727
153,0.30238519
154,0.32088889
155,0.34237000
156,0.36272987
157,0.32887158
158,0.33125732
159,0.36156351
160,0.33154730
161,0.31780429
162,0.32904737
163,0.33494865
164,0.29508721
165,0.33602414
166,0.35093784
167,0.32390625
168,0.31898310
169,0.32969394
170,0.30910135
171,0.30934000
172,0.34559762
173,0.30872436
174,0.36822623
175,0.34705072
176,0.33361786
177,0.32111538
178,0.32298182
179,0.31754324
180,0.34304262
181,0.31337705
182,0.33075926
183,0.32310308
184,0.32746154
185,0.32549180
186,0.32792879
187,0.35283158
188,0.30196167
189,0.32178333
190,0.32984932
191,0.35462667
192,0.33687031
193,0.34826604
194,0.32753696
195,0.33472449
196,0.34143922
197,0.31315000
198,0.33091373
199,0.33599643
200,0.31193265
201,0.33622931
202,0.30848000
203,0.31364889
204,0.32442973
205,0.33228333
206,0.35160000
207,0.31316667
208,0.32947451
209,0.29697941
210,0.33257959
211,0.34248837
212,0.32592045
213,0.31899189
214,0.40071556
215,0.32404571
216,0.32380714
217,0.31140750
218,0.31699074
219,0.31076512
220,0.32922121
221,0.35138913
222,0.32203654
223,0.31530278
224,0.37226667
225,0.34206410
226,0.33930270
227,0.30490577
228,0.33994286
229,0.33686098
230,0.35460323
231,0.34495152
232,0.33855385
233,0.38704063
234,0.35473824
235,0.32426875
236,0.31006286
237,0.33139412
238,0.37025806
239,0.32143704
240,0.29037813
241,0.36425000
242,0.33957576
243,0.28708519
244,0.33236207
245,0.30300000
246,0.32872222
247,0.34446364
248,0.30684375
249,0.31370882
250,0.33176129
251,0.34143667
252,0.31279643
253,0.34625200
254,0.33453226
255,0.36241111
256,0.33617273
257,0.31949545
258,0.30218529
259,0.34759600
260,0.32511429
261,0.30601538
262,0.31996250
263,0.29935556
264,0.35380909
265,0.35471154
266,0.31269615
267,0.32857143
268,0.34710968
269,0.28092692
270,0.36179545
271,0.32680000
272,0.33715333
273,0.32745652
274,0.33882400
275,0.30159167
276,0.35955185
277,0.34989063
278,0.37645556
279,0.32110000
280,0.32134063
281,0.34827273
282,0.33095556
283,0.37468235
284,0.32319565
285,0.31847879
286,0.30984167
287,0.38460800
288,0.32431429
289,0.34670455
290,0.30640000
291,0.36474800
292,0.38965000
293,0.30086842
294,0.28824375
295,0.28835625
296,0.34698824
297,0.23711333
298,0.30272414
299,0.32953043
300,0.38830625
301,0.30202500
302,0.35497143
303,0.32548696
304,0.31063077
305,0.34452857
306,0.35313529
307,0.31786364
308,0.33881200
309,0.31590000
310,0.32399412
311,0.31898182
312,0.32220000
313,0.37949500
314,0.32075714
315,0.34736452
316,0.33703684
317,0.32118750
318,0.33895625
319,0.35463636
320,0.32511667
321,0.31496842
322,0.36285294
323,0.33452500
324,0.28669444
325,0.35510000
326,0.33250769
327,0.32340833
328,0.27796667
329,0.29850476
330,0.34623571
331,0.34685000
332,0.35501333
333,0.31082941
334,0.37302000
335,0.37797273
336,0.38301250
337,0.32635000
338,0.31000000
339,0.28790000
340,0.36697059
341,0.35887778
342,0.34767059
343,0.30043889
344,0.36372500
345,0.44408571
346,0.36679500
347,0.34661579
348,0.38161176
349,0.35520000
350,0.34073478
351,0.31755714
352,0.35357500
353,0.31505455
354,0.33662727
355,0.33082143
356,0.33564444
357,0.33952500
358,0.27328000
359,0.34815714
360,0.36541000
361,0.40480000
362,0.35846875
363,0.32109091
364,0.31605385
365,0.37673077
366,0.29397500
367,0.36920000
368,0.41724000
369,0.34526667
370,0.36842308
371,0.33532500
372,0.30422857
373,0.37321000
374,0.46587500
375,0.33123077
376,0.35888000
377,0.35278333
378,0.37900000
379,0.27604444
380,0.36775833
381,0.31175000
382,0.38835000
383,0.38000000
384,0.37336154
385,0.32155000
386,0.30695000
387,0.38105385
388,0.28225000
389,0.35802500
390,0.34799286
391,0.36088000
392,0.37502308
393,0.33521818
394,0.37812500
395,0.25210909
396,0.34705385
397,0.30183333
398,0.48117000
399,0.34411538
400,0.27990000
401,0.32408750
402,0.30668750
403,0.38973333
404,0.33501000
405,0.29708333
406,0.35627333
407,0.34560000
408,0.36120000
409,0.34086667
410,0.35631250
411,0.31256154
412,0.35757273
413,0.35069000
414,0.33232500
415,0.25786000
416,0.39355556
417,0.29221667
418,0.28232500
419,0.41252500
420,0.32652222
421,0.35705000
422,0.31792857
423,0.39480000
424,0.33525714
425,0.38483077
426,0.37041429
427,0.35210000
428,0.31315000
429,0.27995455
430,0.40115556
431,0.33801111
432,0.41631667
433,0.30471111
434,0.33961667
435,0.34747143
436,0.28417273
437,0.36253333
438,0.24687273
439,0.35945714
440,0.28958333
441,0.24828750
442,0.31272222
443,0.29500833
444,0.36633636
445,0.30611667
446,0.30924444
447,0.34971818
448,0.31372500
449,0.36382500
450,0.32150000
451,0.35968889
452,0.42472500
453,0.27016000
454,0.25622000
455,0.36031111
456,0.39163750
457,0.27922000
458,0.42250000
459,0.34640833
460,0.35210000
461,0.31042000
462,0.24955000
463,0.35640000
464,0.27991429
465,0.33131111
466,0.28192857
467,0.37936667
468,0.29714286
469,0.28495455
470,0.29933333
471,0.31309091
472,0.38062500
473,0.32363750
474,0.35650833
475,0.34583333
476,0.31268750
477,0.29026000
478,0.39930000
479,0.30573636
480,0.29763750
481,0.44565714
482,0.45295000
483,0.26167500
484,0.38246667
485,0.35856250
486,0.37175000
487,0.31243333
488,0.32697500
489,0.35513333
490,0.35712500
491,0.34656000
492,0.30623333
493,0.47190000
494,0.35003333
495,0.26631429
496,0.38726000
497,0.31670000
498,0.28556000
499,0.35337778
500,0.29712500
501,0.30680000
502,0.30538889
503,0.31788571
504,0.33894167
505,0.27620000
506,0.30665000
507,0.33498333
508,0.37121667
509,0.33806250
510,0.33680000
511,0.34280000
512,0.28852500
513,0.25812500
514,0.31020000
515,0.34634615
516,0.29227500
517,0.30930000
518,0.32890000
519,0.31858333
520,0.33796667
521,0.33663750
522,0.46160000
523,0.31425000
524,0.32235000
525,0.32036667
526,0.32127143
527,0.49228333
528,0.39790000
529,0.20086667
530,0.29520000
531,0.28627500
532,0.27804000
533,0.39034000
534,0.43097500
535,0.46638889
536,0.37996667
537,0.35115000
538,0.35362500
539,0.41410000
540,0.38012000
541,0.25087500
542,0.43190000
543,0.30420000
544,0.37905000
545,0.40075000
546,0.24336667
547,0.35010000
548,0.40142500
549,0.39000000
550,0.37277273
551,0.34103333
552,0.33706250
553,0.31195000
554,0.48540000
555,0.37240000
556,0.34158000
557,0.19854000
558,0.28856000
559,0.37360000
560,0.30773333
561,0.47337500
562,0.34136250
563,0.24150000
564,0.33266000
565,0.40540000
566,0.21370000
567,0.28675000
568,0.30856667
569,0.34127000
570,0.34028889
571,0.37540000
572,0.31125000
573,0.25958571
574,0.32978000
