#numposts,avg(#num_answers/#numposts)
1,0.35968755
2,0.34233168
3,0.34913365
4,0.36668173
5,0.38245364
6,0.39540586
7,0.40762026
8,0.41629200
9,0.43437100
10,0.44337598
11,0.44549294
12,0.45289799
13,0.46449163
14,0.46886171
15,0.47396605
16,0.48865668
17,0.48495862
18,0.50500637
19,0.49634096
20,0.51271293
21,0.51979204
22,0.52170774
23,0.51573864
24,0.51974473
25,0.52919805
26,0.52309219
27,0.52684138
28,0.55060108
29,0.54201599
30,0.53745706
31,0.55526302
32,0.55786920
33,0.55463221
34,0.57035901
35,0.56817334
36,0.56004131
37,0.55710119
38,0.57063887
39,0.56330695
40,0.58364399
41,0.59303023
42,0.57583594
43,0.57356797
44,0.60456594
45,0.57563230
46,0.57816550
47,0.58915895
48,0.59287448
49,0.60763669
50,0.58240766
51,0.59337636
52,0.59944386
53,0.59857126
54,0.59631419
55,0.60989923
56,0.62579234
57,0.61232405
58,0.60676282
59,0.60078944
60,0.61359266
61,0.59285469
62,0.60959701
63,0.66960927
64,0.62639633
65,0.64102559
66,0.59644560
67,0.62381799
68,0.62404089
69,0.60458632
70,0.65946790
71,0.62456142
72,0.62746684
73,0.62346443
74,0.64633219
75,0.62550366
76,0.67856744
77,0.64443838
78,0.66927063
79,0.65540701
80,0.65110816
81,0.64033247
82,0.64105140
83,0.65141497
84,0.67815649
85,0.66828000
86,0.64816389
87,0.63937550
88,0.68364725
89,0.64126691
90,0.67446199
91,0.68445207
92,0.67847960
93,0.66039167
94,0.69469456
95,0.69010370
96,0.65141896
97,0.69623733
98,0.68204789
99,0.66356881
100,0.68537037
101,0.68768168
102,0.70020479
103,0.67265220
104,0.67557514
105,0.66940276
106,0.65298108
107,0.68403116
108,0.70454400
109,0.69827111
110,0.62319758
111,0.65244971
112,0.67953423
113,0.68062394
114,0.72001871
115,0.72014906
116,0.60305621
117,0.69316316
118,0.68558406
119,0.68798225
120,0.70940214
121,0.71517169
122,0.67843813
123,0.71508284
124,0.68520924
125,0.69587786
126,0.67392643
127,0.68865704
128,0.69136056
129,0.67171739
130,0.70938390
131,0.68583913
132,0.75885508
133,0.67950093
134,0.71044842
135,0.70398679
136,0.71960952
137,0.72485448
138,0.72476356
139,0.67739211
140,0.64639573
141,0.70056264
142,0.69390095
143,0.71108333
144,0.71656413
145,0.69578148
146,0.71651149
147,0.74585800
148,0.66898763
149,0.68795253
150,0.67779560
151,0.74567927
152,0.70903273
153,0.76172469
154,0.74169667
155,0.73822125
156,0.67499481
157,0.74927083
158,0.69605366
159,0.74439867
160,0.70660811
161,0.69370429
162,0.74724000
163,0.72392667
164,0.65916782
165,0.72452614
166,0.66627067
167,0.74406790
168,0.72097945
169,0.68970606
170,0.75166351
171,0.69396515
172,0.73048214
173,0.71372436
174,0.70507460
175,0.62865571
176,0.79423750
177,0.68892615
178,0.80621558
179,0.70107733
180,0.67021803
181,0.73888525
182,0.65648929
183,0.77578462
184,0.73108269
185,0.71147541
186,0.72050746
187,0.67886491
188,0.79362500
189,0.74289444
190,0.75702740
191,0.75346889
192,0.73267188
193,0.71580755
194,0.76209130
195,0.72516531
196,0.76270980
197,0.82418654
198,0.75876078
199,0.70746607
200,0.75459184
201,0.70915763
202,0.78989800
203,0.77175556
204,0.78007027
205,0.77056833
206,0.77645750
207,0.75711481
208,0.73557843
209,0.74500294
210,0.73730816
211,0.73548140
212,0.69017727
213,0.71158378
214,0.76572889
215,0.75826286
216,0.79078333
217,0.66943902
218,0.67748364
219,0.79664651
220,0.80854242
221,0.76884783
222,0.71757925
223,0.82823611
224,0.81101026
225,0.80068974
226,0.68273514
227,0.68781154
228,0.74206667
229,0.78432195
230,0.66073871
231,0.70680606
232,0.83289487
233,0.66483125
234,0.74045000
235,0.70655918
236,0.69684857
237,0.65748235
238,0.77229677
239,0.70973704
240,0.67904063
241,0.71466667
242,0.76796970
243,0.68877037
244,0.80031034
245,0.70006897
246,0.67374815
247,0.83032727
248,0.78010938
249,0.83109706
250,0.85432258
251,0.84422333
252,0.77367143
253,0.69486400
254,0.81204516
255,0.77181852
256,0.75391212
