#churn_class_label,num_questions,num_answers,num_answers_recvd,a_score,q_score,a_score_stddev,q_score_stddev,relative_rank_pos,answering_speed,mean_rep_co_answerers,mean_rep_answerers,mean_rep_questioner,time_for_first_ans,a_q_ratio,a_post_length,q_post_length,a_comments,q_comments,num_q_answered,mean_max_rep_answerer,mean_accepted_answerer_rep,qrep1,qrep2,qrep3,qrep4,gap1,gap2,gap3,gap4,gap5,gap6,gap7,gap8,gap9,gap10,gap11
-1,1,10,2,1,3,1,0,1,984,,39854,1393,4,5.5,342,913,1,1,1,69903,9805,21.8,131,782,6064,11556,20203,15729,7,13066,8743,5,125476,85967,20626,99174
-1,5,6,3.2,3,4,3,3,2,50539,,8439,7394,50,1.16667,499,649,1,0,5,14777,6956,,,760,8720.4,63742,112228,921,360,4078,6011,11385,124,9952,7333,3832
-1,0,11,,1,,2,,2,26,,,1608,,12,462,0,1,,0,,,18,115,752.2,4561,96115,3,3,12,7158,3,8497,13,3,2,4
-1,11,0,2.36364,,1,,1,,,,8373,,30,0.0833333,0,879,,1,11,18151,16537,,,,,0,219896,28772,39091,4212,9070,12270,31705,27398,51811,21631
-1,1,10,2,1,3,1,0,1,3091,,6850,2945,45,5.5,292,348,1,0,1,8259,,40,192,1249,4629.17,151173,60299,4519,21465,8809,1063,1389,3,14,89,263
-1,0,11,,1,,1,,1,39312,,,2369,,12,494,0,0,,0,,,18,170.5,990.5,10701,0,211,231990,14375,20169,6,31651,40216,65856,3010,86705
-1,5,6,5,3,19,5,32,2,46658,,13147,2823,454,1.16667,123,1143,1,1,5,29714,18690,43,181,,4630.67,1534,1434,5558,1163,3373,1000,34803,123,45687,19142,7001
-1,9,2,2.88889,0,1,0,1,1,2599,,43996,696,54,0.3,783,957,1,3,9,96108,27107,,,696,,97,2247,2138,1178,1272,2612,338,1046,564,1276,1046
-1,10,1,3.5,0,3,0,3,1,835,,49215,382,59,0.181818,266,349,0,1,10,105198,58045,,382,,,0,5300,53,453,2976,1579,724,484,3922,643,835
-1,0,11,,2,,1,,2,18,,,316,,12,509,0,3,,0,,,23.1429,386,974.667,,95,24346,74012,57,606,61,69,25,31,95,20
-1,11,0,2.90909,,4,,8,,,,12031,,47778,0.0833333,0,229,,1,10,36993,14346,,,,,0,9846,121742,95,85716,105187,7427,8087,5799,10852,1412
-1,2,9,2,0,9,1,8,1,10,,58083,3599,7,3.33333,248,393,1,0,2,63633,63633,10.3333,242,749,10374.3,0,32,57,12,36,7,16,1235,20396,779,251
-1,4,7,3.25,0,2,1,2,1,7656,,4477,5499,721,1.6,455,444,1,0,4,9477,6198,3,,,6415.17,10,626,19088,131,4139,14,13,12688,24,29,309
-1,9,2,2.11111,1,3,0,4,1,356352,,22768,3375,68,0.3,662,1274,2,1,9,49268,48226,1,,,6748,1234,45908,1881,50576,56,31548,9978,2761,20451,7045,41869
-1,1,10,1,2,2,2,0,2,162,,856,6210,357,5.5,692,239,1,0,1,856,856,,407,798,10618.6,81,13,1458,19807,12778,25039,5,21,6381,32,9
-1,10,1,1.1,1,1,0,1,1,172209,,27094,21,374,0.181818,336,577,0,1,9,28328,35761,21,,,,6314,11225,2844,7514,6836,132455,90720,1414,11464,1446,113
-1,9,2,1.22222,0,0,0,1,1,46884,,2547,1559,14331,0.3,150,346,0,2,9,3602,3057,31,,,3086,47466,487399,6367,42137,3893,27537,20008,63575,28884,5691,11
-1,0,11,,0,,2,,1,28,,,1320,,12,271,0,1,,0,,,6,306,846.667,3784,2,11714,49054,62800,17,9,21,21639,3162,53091,10001
-1,11,0,1.90909,,1,,1,,,,8079,,13,0.0833333,0,1079,,0,11,11505,10402,,,,,17,7107,14730,20211,35926,7561,5907,7101,11596,1365,2318
-1,10,1,0.8,0,0,0,1,1,342215,,4782,426,104,0.181818,509,3611,0,1,5,6002,4702,,426,,,10014,31853,33608,6660,15557,7965,983,9752,1765,1157,12972
-1,3,8,2.66667,2,2,1,2,2,2552,,9351,1255,1004,2.25,590,2634,1,1,3,26401,10324,27.5,215,1420,4147.5,18,16,325,2942,3912,350,1011,53,41,2553,8782
-1,9,2,1.88889,1,1,0,2,1,3097,,3345,160,4490,0.3,902,1613,0,0,9,5646,5646,,160,,,117941,2968,41405,6131,1256,7274,62,4309,90480,125480,243100
-1,11,0,1.63636,,2,,2,,,,3897,,17304,0.0833333,0,1704,,1,11,7039,2453,,,,,10099,1307,883,10085,9348,2061,4840,45,2908,1516,10144
-1,0,11,,1,,1,,2,3721,,,265,,12,1088,0,2,,0,,,17.6667,206.333,809.5,,8346,10488,2995,848,1490,314,3174,772,7,274,240
-1,2,9,1,2,2,2,0,2,60,,65216,915,187,3.33333,598,2510,2,2,1,129606,826,22,341.5,762,2241,9237,56,2184,264,39,5,35,2806,1391,3003,14
-1,5,6,8.4,5,11,9,9,2,136,,24817,5249,278,1.16667,633,692,0,2,5,139450,8638,,,1113.5,7317.25,2188,430,16972,1776,1651,2739,889,1712,4352,16313,11469
-1,9,2,0.888889,1,1,0,1,2,5,,12461,389,132,0.3,258,574,1,1,8,12461,15389,1,,777,,11445,24434,14260,64844,20269,1598,17048,13229,19882,36041,1726
-1,0,11,,5,,2,,2,67,,,3625,,12,1531,0,1,,0,,,28.6667,135,1025,17707.5,2730,3463,689,55,756,17,13,563,99,67,78
