#churn_class_label,num_questions,num_answers,num_answers_recvd,a_score,q_score,a_score_stddev,q_score_stddev,relative_rank_pos,answering_speed,mean_rep_co_answerers,mean_rep_answerers,mean_rep_questioner,time_for_first_ans,a_q_ratio,a_post_length,q_post_length,a_comments,q_comments,num_q_answered,mean_max_rep_answerer,mean_accepted_answerer_rep,qrep1,qrep2,qrep3,qrep4,gap1,gap2,gap3,gap4,gap5,gap6,gap7,gap8,gap9,gap10,gap11,gap12,gap13
-1,8,5,2.375,1,1,1,1,1,1862,,2246,304,22,0.666667,183,1176,0,0,8,3211,2618,,304,,,11,1155,94,1385,1586,62,4199,2934,187,254,5,1,5
-1,13,0,1.76923,,1,,4,,,,16741,,49,0.0714286,0,846,,1,13,19090,19692,,,,,3284,29638,7392,3959,4678,1858,981,1650,1489,1100,13686,12385,1666
-1,6,7,2.66667,0,0,0,0,1,66887,,4892,96,10945,1.14286,420,1200,1,1,6,15483,756,17.2,292,,,1262,222,3239,1589,719,3411,12862,1379,11475,531,789,72221,6179
-1,0,13,,3,,5,,4,18536,,,9831,,14,279,0,1,,0,,,,306,823.4,17624.9,2,6510,10,14,3,2,2,4,8,38,488,1793,6
-1,3,10,4.66667,1,1,1,1,1,22644,,45577,9255,5,2.75,657,1430,0,3,3,132212,6383,,,1168,11950.5,75060,1369,91,116,2140,762,17,14744,71,2206,3150,4032,8955
-1,6,7,2,1,1,0,2,1,29,,20442,1189,5,1.14286,716,2024,2,5,6,33201,21009,30.3333,435,1314.5,5168,6,87,86,11264,1347,26,32,1482,1580,14220,53,1439,4352
-1,5,8,1,0,0,1,0,1,51618,,1099,387,481,1.5,634,1330,0,3,4,1162,1037,21.5,304.75,918.5,,13069,34,775,78147,1060,63497,4136,26,10326,1403,1532,18762,1008
-1,13,0,2.53846,,0,,0,,,,25035,,8,0.0714286,0,1113,,1,13,66268,39596,,,,,11,1484,259,302,561,761,130,5316,109620,6509,544,3054,8345
-1,1,12,1,1,3,1,0,1,36289,,214467,789,15,6.5,400,733,0,0,1,214467,214467,30.3333,227.5,919,4921,19,96,33,2160,10,9,422,17,4,40,2535,13,357
-1,1,12,5,9,2,18,0,3,21062,,16780,8941,6,6.5,490,1162,1,0,1,25885,19021,,347,658,13160.5,45,55,14,92,654,533,133,131,16,1211,412,280,1071
-1,7,6,2.14286,2,1,2,1,2,242490,,26698,4198,1979,0.875,1335,1418,0,1,6,53238,61042,,163.75,1083,23447,0,1454,40343,4364,2902,2299,76,5950,123652,6135,13120,9844,156
-1,5,8,1.6,0,1,0,1,1,413876,,68058,1209,953,1.5,493,1138,1,2,5,71759,71759,28,201,1090.5,3430.5,16987,40566,2522,5993,1590,50393,2570,4341,11700,24312,6047,9758,1760
-1,4,9,3.25,1,2,1,1,2,1765,,5114,4296,386,2,600,699,0,0,4,17526,16299,32,,1298.5,6005.5,35999,2407,21,8,246,1590,1231,4100,1528,141,23,96,67
