#churn_class_label,num_questions,num_answers,num_answers_recvd,a_score,q_score,a_score_stddev,q_score_stddev,relative_rank_pos,answering_speed,mean_rep_co_answerers,mean_rep_answerers,mean_rep_questioner,time_for_first_ans,a_q_ratio,a_post_length,q_post_length,a_comments,q_comments,num_q_answered,mean_max_rep_answerer,mean_accepted_answerer_rep,qrep1,qrep2,qrep3,qrep4,gap1,gap2,gap3,gap4,gap5,gap6,gap7,gap8,gap9,gap10,gap11,gap12,gap13,gap14
-1,8,6,3.375,1,3,1,2,1,11,,13201,675,1241,0.777778,220,1251,0,1,8,47957,5816,2,226.5,1202,2393,0,6604,2,18869,40139,34,17497,5707,4502,4211,2771,1,5,10339
-1,3,11,3,1,2,1,2,1,14,,2151,103,5,3,1148,432,1,2,3,4813,4468,9.28571,132.333,676,,15,23970,84066,748,16,10,54,74,184,971,37,3,144,42
-1,0,14,,1,,1,,1,5,,,2967,,15,215,0,1,,0,,,45,110.8,1023.4,17891,98385,47,4,37183,8476,2769,7668,8,3758,2902,1716,904,405,309
-1,2,12,1,0,1,0,1,1,7,,5680,318,59,4.33333,607,5422,2,0,1,6115,6115,15.4286,373.5,987.667,,16,39838,1921,1472,597,8606,15,53,94,7,36,63,13,1159
-1,0,14,,0,,1,,1,71194,,,968,,15,857,0,1,,0,,,29.75,273,772,4378.5,217,702,245,16,8996,18,7,872,207,2939,66,18,119,75
-1,9,5,1.33333,1,0,1,0,2,137,,4600,269,39852,0.6,239,665,2,2,8,6803,3225,34.5,240.5,793,,0,221,6,20,1322,4202,1940,10,12,1065,1236,575,11427,3887
-1,1,13,3,1,1,1,0,1,31,,11966,332,3,7,334,417,2,0,1,28737,28737,64,198.444,822,,87421,776368,58,11,42,88,270,776,251,146,1053,229,173,152
-1,0,14,,1,,1,,1,149068,,,1452,,15,1172,0,2,,0,,,35.3333,130.5,949.667,5666.33,0,1010,3191,314,49,25,22,19,2012,123,9,684,755,572
-1,14,0,2.14286,,2,,6,,,,85502,,26,0.0666667,0,1015,,1,14,109134,112437,,,,,0,7177,139,1013,1795,11844,5368,1627,20132,19735,81,9976,21852,11489
-1,10,4,1.7,1,1,1,2,1,2562,,4570,530,57833,0.454545,294,1284,1,2,10,4828,6421,,393.5,667,,4,139988,179904,10195,41160,125533,47535,30211,25822,7156,301,1241,7,1920
-1,7,7,3.28571,0,2,1,2,1,98214,,10029,2112,60,1,379,433,0,1,7,24849,10458,,187,1469.33,4038.5,3,2920,18,88,1057,8,1790,8,87644,7186,6032,1059,2891,562
-1,6,8,1.83333,4,6,5,7,2,167109,,33883,2898,1969,1.28571,945,633,1,1,6,51761,33980,30,106,620.5,7259.67,67414,72458,7971,3,79554,1448,1078,37488,52137,71,2498,2711,235,40
