#churn_class_label,num_questions,num_answers,num_answers_recvd,a_score,q_score,a_score_stddev,q_score_stddev,relative_rank_pos,answering_speed,mean_rep_co_answerers,mean_rep_answerers,mean_rep_questioner,time_for_first_ans,a_q_ratio,a_post_length,q_post_length,a_comments,q_comments,num_q_answered,mean_max_rep_answerer,mean_accepted_answerer_rep,qrep1,qrep2,qrep3,qrep4,gap1,gap2,gap3,gap4,gap5,gap6,gap7,gap8,gap9,gap10,gap11,gap12,gap13,gap14,gap15
-1,9,6,2.11111,0,1,0,1,1,544351,,6614,22320,664,0.7,421,291,1,2,9,13858,5706,38,69,666.5,132439,6,1255,58,10,300,2807,2729,1289,1368,260,1278,299,1325,124,1372
-1,13,2,2.53846,0,0,0,1,1,11855,,29130,72,1761,0.214286,369,2021,2,1,13,48009,32618,,72,,,0,21312,38,964,380,48,13405,1028,60104,12136,16591,10430,7655,1404,6686
-1,10,5,1.5,0,0,1,0,1,793,,5048,88,38,0.545455,405,1042,1,2,8,8447,5017,19,134.333,,,17,823,13488,14226,16240,21147,1427,108465,3010,5275,42327,4388,6758,4453,6
-1,3,12,2.33333,1,3,1,0,2,616,,5395,1208,53,3.25,465,785,2,0,3,10680,10448,1,307.857,887,3818,51297,31,51741,10,128018,302954,12,18,42,11155,16897,58989,71,177029,63
-1,11,4,1.54545,1,1,2,1,2,5072,,17828,2768,10901,0.416667,246,529,0,1,11,29872,31584,13,172,1262,9625,0,7319,18841,275,3874,6046,62,3870,1594,101,20302,14250,14408,24,5637
-1,15,0,3,,1,,3,,,,31429,,82,0.0625,0,416,,1,15,61349,35480,,,,,0,123,17752,3693,103,7979,200,935,5231,453,9273,294,23,22363,470
-1,4,11,1.5,1,1,1,1,1,21978,,20829,154,45,2.4,989,9289,1,2,4,32823,16884,12.4,175,756,,442178,1365,32,19,57,38,971,47,9,1342,430,13,1258,357,931
-1,2,13,1.5,0,1,1,0,1,197,,69306,2064,33,4.66667,295,306,1,0,1,206046,206046,24,81,1365.5,7952.67,86,8,19,21,16,15,614,57,39,3,33859,5,41301,7,8779
-1,3,12,1.33333,1,1,1,1,1,164333,,432,7348,1700,3.25,403,487,0,2,3,441,441,67,222,949.333,40874.5,0,315309,834997,523,37346,3831,2002,976,1440,7611,5994,1624,4980,11,439
-1,3,12,1,0,0,0,0,1,158995,,15067,464,17,3.25,329,323,0,1,3,15067,15067,15.3333,316.8,984.75,,24261,22,1625,14,8260,26,7,30,324,172,1632,971,4197,14541,164
-1,0,15,,0,,0,,1,363,,,1025,,16,684,0,2,,0,,,10.3333,95.3333,1384.75,4742.5,0,10149,9,1445,43,1240,84,1683,106,194,1186,1031,97,39,39
-1,0,15,,0,,1,,1,13711,,,603,,16,420,0,2,,0,,,44.6667,240.5,712.167,1837,103,14,87,256,9993,1274,261956,375,1117,10,357,1051,2886,10009,2826
-1,8,7,4,5,7,7,10,3,365029,,32211,2287,461,0.888889,242,545,1,1,8,63491,4403,,199,810.5,6285,4,10,473190,2997,256373,96899,109200,37844,21124,1737,21,7342,943,25,2903
-1,14,1,1.14286,0,1,0,1,1,1015,,67532,151,919,0.133333,687,1214,0,3,11,77102,37892,,151,,,4252,7221,49,966,15974,2857,15813,2968,20399,2979,136448,16297,34152,1678,104
-1,5,10,0.8,0,0,0,1,1,205941,,228,685,20105,1.83333,495,808,0,1,4,228,250,34.6667,214.75,818,4248,190815,1125,245,41,28,837,319,109,11,48,1287,5922,12,20,36
-1,4,11,2.25,1,1,3,1,1,48299,,29306,3668,211,2.4,494,558,2,1,4,67738,66102,20.75,428,792.25,18333.5,13952,8913,26,2415,429,27,79,17183,46077,5484,1324,3369,1009,1571,199
-1,11,4,1,0,1,0,1,1,9766,,4339,302,8193,0.416667,208,455,0,1,11,4339,4339,32,72,551,,741978,15435,18668,12496,3951,1970,265,2664,686,813,5,1668,20,25,469
-1,6,9,2.16667,1,1,2,1,1,4704,,3456,1404,295,1.42857,555,647,0,0,6,5658,2398,4,193.667,,2662.25,115273,1107,131,1538,9,5612,4,4,5718,16858,829,1072,7963,705,2654
-1,2,13,5.5,1,2,3,2,3,51,,17307,4094,496,4.66667,646,295,1,0,2,27576,14379,3,231,1176.2,7851.83,0,25,1542,8,19,3176,554,3562,667,179,37,31,2761,1275,183
-1,14,1,1.78571,-1,1,0,1,1,96,,44281,171,832,0.133333,172,546,0,1,14,57223,44242,,171,,,4,1109,216,220,1018,1645,17490,2845,1429,4268,1310,1556,96,1485,10001
-1,4,11,1,1,1,1,0,1,3,,4483,64,218,2.4,201,747,2,3,3,5150,6352,33.9,364,,,272901,6,37683,6,1262,24,296,62,908,10,6,712,5,13,2742
-1,1,14,8,12,3,17,0,3,1978,,12988,3342,1,7.5,973,203,1,0,1,37155,15704,11,167,853.667,6267.71,13,51,4489,4210,1354,476,14083,36007,30785,9455,15710,4673,8432,13,26207
-1,1,14,6,2,12,2,0,1,58,,30918,987,5,7.5,440,1552,2,1,1,85566,28940,,224.167,659.6,3057.33,56982,107,41,998,32,34,1703,6,342,3645,65,5,60,21,28
-1,3,12,1,1,0,1,0,1,4881,,5058,215,4318,3.25,687,5275,1,1,3,5058,5058,17.8333,290.75,655,,2,352890,586199,12,2541,8724,1494,7,320,103,882,3,250,5515,145
-1,0,15,,4,,3,,2,1135,,,1030,,16,415,0,1,,0,,,27.4,190.833,611.5,6475,0,500,31189,7,300,2197,8,119528,32011,6202,590,1712,123,1017,164
-1,1,14,2,12,6,34,0,2,44,,33947,13224,7,7.5,1147,1042,1,0,1,58620,9273,40.5,207,567,28405.5,9888,7,314,1276,578,7959,317,1119,10331,1123,239,4291,1498,62,2762
-1,1,14,4,5,2,9,0,2,183,,63047,4992,6,7.5,249,989,1,2,1,223117,1223,,346.333,973.333,8705.43,0,54,578,9,21,1411,11,173,44,77,1387,40,48,75,63
-1,2,13,1.5,2,2,2,1,1,3654,,14607,1542,21,4.66667,1530,665,1,2,2,26796,1831,28.5,304,800,4340,76,1572,19,10,2754,4244,162816,246280,104765,500271,75868,13306,1336,37,7026
-1,3,12,8,1,3,2,3,1,85,,12382,4475,21,3.25,242,1413,0,0,3,45059,2222,38,,1007.43,11653,90,64,10,118,1282,678,46,3,18,2201,31,10,600,34,6428
-1,0,15,,2,,3,,1,14684,,,2399,,16,351,0,1,,0,,,14.2,250.2,945,10922,0,22,4,23,173,22,1277,150,9,5,4,25,31,1042,40
-1,12,3,1.91667,0,4,0,4,1,244877,,16403,600,18466,0.307692,131,1301,0,2,11,24544,17760,,370,715,,7,244503,2175,80634,24,82850,4495,13,40026,24478,37668,3086,69000,28778,38808
-1,3,12,3.33333,2,10,1,9,2,48364,,10524,6301,45,3.25,701,1572,1,2,3,23445,9687,22,112.333,807,12272.3,561227,1404,11495,3023,2658,562,5845,4383,61,9,1440,13704,6426,15505,79
-1,7,8,3.42857,0,2,0,2,1,368392,,29112,2288,115,1.125,326,789,1,1,7,63569,34173,12.25,,790,8335.5,0,7969,17,1159,15495,2505,253,26290,1842,50915,160213,143,1075,7170,420
-1,14,1,0.857143,0,0,0,1,1,1392064,,13823,2906,543,0.133333,205,793,0,1,9,16952,24147,,,,2906,6,252,7348,2468,347,1349,3333,2657,2732,143,7078,1133,218,1729,45661
-1,11,4,1.72727,2,1,2,1,1,5952,,18762,1638,8985,0.416667,523,576,1,2,10,41644,60665,6,231,,3158,22879,1783,56001,20467,102511,375023,157017,66767,51482,15,4,706,17,327347,70575
-1,15,0,2.66667,,1,,1,,,,33582,,550,0.0625,0,1538,,1,15,58261,30852,,,,,0,34617,8843,8755,2423,401,99042,222,2754,1438,1052,1782,377,690,672723
-1,11,4,2,0,4,0,6,1,397,,68524,815,63,0.416667,561,1420,2,1,11,111596,60228,,,815,,83,30344,23760,97096,1509,115188,1318,8287,280010,245471,35,10774,82687,15984,198
-1,0,15,,1,,2,,1,53106,,,1028,,16,681,0,1,,0,,,22.2,226.6,981,5613.5,3,1864,37,26,5,3,17,16,718,457,6,11,55,939,86
-1,2,13,3.5,2,4,3,0,2,1867,,30878,5471,214,4.66667,365,1495,1,2,2,82811,163898,,301.2,1523,11430.2,30,1387,1440,31,240,33073,1296,42,70,8577,15153,4120,26,1160094,37397
-1,15,0,2,,1,,1,,,,13059,,506,0.0625,0,586,,2,13,23092,20304,,,,,12,5690,4259,20,319,65,100,2460,1232,31,4378,4165,113,1866,216
-1,15,0,1.53333,,0,,1,,,,41989,,34,0.0625,0,926,,1,13,73969,38230,,,,,13,1745,17177,11358,40205,43549,1471,11301,2914,48,7187,27729,18541,57207,627
-1,13,2,3.30769,0,9,0,15,1,1326,,11839,388,1105,0.214286,205,492,3,1,13,30798,27929,5,,771,,0,19153,8274,1993,28713,4691,951,4018,63972,169586,17518,20215,312047,21923,33045
-1,0,15,,1,,1,,1,41188,,,410,,16,1263,0,1,,0,,,9.5,173.143,1226.5,,19,16,1062,52,224,29,1291,14,17086,317,5668,8,3799,52,405
-1,0,15,,0,,0,,1,119197,,,1153,,16,498,0,0,,0,,,21.5,211.667,627,3829,0,37,5,4489,859,610,602,259,39,54,1213,412,25,138,33
-1,0,15,,6,,9,,2,6819,,,1910,,16,477,0,1,,0,,,11.3333,259.333,990,5260.5,16,6,8064,773,51,36,599,7978,59141,89239,256656,300616,134031,17242,110650
-1,12,3,1.16667,0,1,0,1,1,6906,,23660,3041,3907,0.307692,2506,2767,0,1,12,24674,24674,,,,3041,8,228,2179,18627,73333,4646,96,6901,28762,2864,7234,2764,6356,955,23079
-1,3,12,2.66667,1,2,1,2,2,32261,,6464,4152,3476,3.25,551,1302,1,1,3,12123,1822,5.5,188.333,940.75,15160.7,48,36555,181484,879,3,2829,8709,1422,7,547,6746,33,329,1021,2732
-1,2,13,1,1,1,1,1,1,123,,22579,985,56055,4.66667,282,842,1,1,2,22579,22579,21.5,172.667,1063.67,3002,1403,137364,182391,9817,108,122,86978,4361,58831,16076,4,27,76713,67844,24528
-1,15,0,2.13333,,0,,1,,,,26266,,41289,0.0625,0,303,,2,14,46163,51774,,,,,6,3153,5345,10050,1792,1649,3542,26574,28209,1612,1428,105,177,1143,1431
-1,14,1,1.21429,0,0,0,1,1,4075,,3538,43,2513,0.133333,520,787,0,2,14,4920,2611,43,,,,14,3608,7919,3788,17453,7147,1638,2762,5682,177,15883,4075,40446,44551,15693
-1,0,15,,4,,7,,2,94507,,,605,,16,376,0,1,,0,,,18.75,217.429,1152,4017,3,9,4,1474,897,524,71,64,9,611,135,4248,222,387,7
-1,13,2,1.76923,0,1,0,1,1,27367,,9724,280,1169,0.214286,157,539,0,2,13,20351,16270,,280,,,6,54713,1811,1625,980,39198,37,20,796,309,981,2306,2068,717,67750
-1,0,15,,2,,4,,1,34635,,,3283,,16,323,0,1,,0,,,13.5,271.75,992,7525.83,0,65100,1035,1985,6659,4865,13021,713,6409,1952,33257,43206,9203,26,7976
-1,3,12,1.66667,2,5,1,1,1,1114,,18429,3111,1789,3.25,717,1783,1,4,3,23911,5730,16,337.75,510,5909.67,1987,1313,4063,12720,29,86,33,2973,3547,12076,8604,15427,5566,6793,4379
-1,13,2,2.76923,1,3,0,5,1,90695,,25450,784,43,0.214286,158,522,1,1,13,60472,13001,,,783.5,,29869,20,1385,72,2626,1238,34,34,341,5521,222,10326,11058,4,57003
-1,11,4,1.09091,1,0,0,1,1,318898,,5252,317,6234,0.416667,156,970,0,1,10,5298,6470,,102,532,,11,5569,2891,3258,3862,357,14689,5175,21855,43030,9001,22,26,1053,16
-1,14,1,2.35714,0,0,0,1,1,320,,10255,52,3794,0.133333,225,1370,0,1,14,23328,23998,52,,,,0,41815,50325,7407,4124,179,4206,9850,320,64679,181253,231,1421,5871,103638
-1,4,11,6.25,0,8,0,5,1,38290,,24767,10772,8,2.4,525,1342,1,2,4,63874,25372,21,246.5,1248,37654.7,113,1747,3554,10439,7580,64339,82,3259,8038,627,1447,14638,108702,2894,285093
-1,7,8,1.85714,1,0,2,0,2,432144,,8515,3034,55745,1.125,517,1096,0,3,7,16421,16618,1,386.5,842,8292.5,12,13,31,6,1411,9,30478,52,892,486,1018,4441,5776,175831,20068
-1,2,13,2.5,1,18,1,14,2,7706,,126375,14954,27,4.66667,436,491,0,1,2,246481,234938,,304.5,802,23182.6,0,4245,87,118,24,12,24,11,115,35,4,71,50,13,18
-1,2,13,1.5,2,3,4,0,2,142882,,2114,902,55,4.66667,608,321,0,1,2,2228,2000,23,131,636.5,4402,4101,15324,11656,11818,7,9623,19088,6190,15038,2361,4,7,7,2079,1626
-1,13,2,1.61538,1,1,1,1,2,1095,,28954,1585,1174,0.214286,984,1171,0,1,12,30034,27471,,,764,2406,9,27639,1676,3040,20,14470,8482,2640,8258,4517,1485,420,1458,2726,1055
-1,3,12,1.66667,4,5,8,4,2,295415,,1075,2935,3571,3.25,1032,780,1,1,3,1220,716,,,734,5184.17,0,106719,175051,39175,20335,6701,7445,19181,35,56,800,1331,21641,8854,30180
-1,2,13,3,2,2,4,2,1,63074,,921,780,358,4.66667,382,1038,0,3,2,2923,5734,21.2,116.667,793.25,6510,0,31,8360,98,35,25,33,366,1145,1658,9,2809,74641,803,4
-1,15,0,2.86667,,2,,3,,,,20666,,249,0.0625,0,373,,1,15,57727,31827,,,,,95282,40188,2962,32,20,22577,30,1076,10080,14682,20199,558,10852,8948,5785
-1,15,0,2.4,,0,,0,,,,25215,,61,0.0625,0,858,,1,15,45829,43151,,,,,0,7439,3037,1538,7148,191218,2803,94,2243,3683,91171,5115,57,37,1005
-1,12,3,1.66667,0,2,0,2,1,83,,32903,1287,267,0.307692,713,1360,0,0,12,62746,33514,,205,,1827.5,815152,943,4614,1541,3906,9169,35875,20014,14422,18865,11408,45972,11754,19984,198
-1,9,6,4.66667,1,3,1,3,1,38260,,18981,3853,9,0.7,748,1099,1,4,9,48769,19484,33,,863,7397,34391,119923,6762,10455,2629,1319,11512,250,15673,49237,4024,1537,4626,999,190
-1,12,3,1.5,0,1,0,1,1,401,,4485,319,149,0.307692,635,1336,0,0,12,6279,6860,,319,,,72480,40334,113259,7638,1037,51,4277,12207,87,997,78,312,2532,4148,1295
-1,7,8,1.57143,1,1,1,1,1,179,,6160,1491,53584,1.125,407,1195,0,1,7,8093,9134,,198.667,651.667,4689.5,0,1763,1187,330,6535,16172,9810,2809,17535,11487,9961,18855,1266,1269,81
-1,0,15,,4,,6,,3,28328,,,3558,,16,1609,0,1,,0,,,9.33333,,607.75,6765.14,0,80619,66272,25,13088,25,4376,258,61938,101,1243,1020,310,11,277
-1,2,13,1.5,1,1,1,1,1,6268,,3909,998,1230,4.66667,388,1238,1,1,2,4091,4091,39,287,992,7242,37,34198,6170,9762,99932,3855,8539,10166,71,1047,12,192,106,165,197
-1,14,1,1.21429,1,1,0,1,2,1726,,40421,91,5383,0.133333,1140,1304,0,1,12,46313,45786,,91,,,69,15718,24118,1567,158,61,5617,156,4375,35,9660,6250,4282,14414,2315
-1,15,0,2.13333,,1,,1,,,,39436,,11447,0.0625,0,1374,,1,14,78183,67242,,,,,0,1723,1352,369,19619,10197,1160,26275,14299,117,4176,2594,340,1852,1228
-1,2,13,1.5,3,6,5,2,2,66461,,10593,7636,1494,4.66667,387,429,1,3,2,10713,10474,47,263,816.333,14768.7,2798,4131,3747,872,9148,19,2436,419,12,5,25041,29787,146623,15420,92527
-1,5,10,1.8,2,1,3,1,3,9728,,3571,1399,24821,1.83333,380,934,1,1,5,6004,648,6,307.5,,4046,1,138221,2,672,8953,10034,68745,9,14452,39008,825,6,10,2,25184
-1,9,6,2.66667,1,1,1,2,1,136380,,16821,236,56,0.7,447,885,1,1,9,41185,14645,6.25,144,1249,,259737,2786,9,57,57893,13010,33,4295,2768,96,70593,42330,193,130,10111
-1,9,6,3,2,2,1,2,2,273,,39363,1154,164,0.7,651,439,1,1,9,107799,38453,,187,552.333,3925,36039,23934,800,8,3785,1725,24218,8852,138358,29831,174617,9764,13,19,17
-1,5,10,1.8,1,0,2,0,1,220276,,11711,4759,30,1.83333,518,1371,2,1,4,16110,13309,22.25,364,,10594.2,21,1304,12,5579,1340,10392,38397,43316,24722,24301,33417,23039,24250,60542,99389
-1,0,15,,0,,1,,1,139,,,522,,16,315,0,1,,0,,,20.5,126.5,725.667,2615,18,11,10,11,4136,212,233,5,898,18,18,28,274,1270,8504
-1,2,13,1,1,0,2,0,1,52439,,12829,1127,39,4.66667,872,299,1,2,2,12829,12829,31.3333,122,982,5501,6,8667,2898,301467,422421,8,11,3,13,9,698,194,34,7,65
-1,3,12,2,3,1,4,1,1,92696,,12998,840,99,3.25,343,1079,2,0,3,20006,10586,19,158.333,866.333,3462,3961,54559,371289,19757,4614,489,8,6,12,16,5,6,630,387,892
-1,3,12,2,0,1,1,1,1,54378,,43511,128,99,3.25,580,654,1,1,3,78137,9152,14.4286,126.333,528,,0,10357,30325,111999,47402,5,8640,13105,10400,15,919,73,10472,106534,83496
-1,9,6,1.55556,1,1,1,1,2,9692,,4682,900,8,0.7,336,568,1,1,8,6220,9284,29.6667,,842.5,3626,20342,5537,3149,7082,2842,7440,12682,1791,16748,22242,20990,5,8,260,5558
-1,0,15,,2,,2,,1,34781,,,2112,,16,623,0,1,,0,,,32.75,135.333,812.2,9029.33,94384,4,5,3223,291,2175,2830,3,49,6209,15595,3052,4363,15811,1710
-1,11,4,1.09091,1,0,1,1,1,68,,22966,1556,23849,0.416667,370,1141,1,0,10,22978,22955,29,429,1058,4707,158392,50720,388,1444,23769,27761,1462,3,2505,8823,39869,19414,6929,2904,222813
-1,0,15,,2,,2,,1,19193,,,3674,,16,571,0,2,,0,,,35,356,975.4,6229.75,21,83257,23,161,20,45,1137,24,3,1366,1960,7,182,1044,13
-1,1,14,2,1,2,2,0,2,31545,,135903,10713,284,7.5,635,678,1,0,1,231365,40441,,,1003.17,19036.3,0,110,8,14,10,3,19,12,202,126,827,12,167,49,347
-1,2,13,3,1,3,1,2,2,688,,27052,1773,7,4.66667,846,862,1,1,2,46365,43581,20.2,228,792.25,6518,18,17,32,8,27,2658,16,11,311,924,199,1249,15,116,472
-1,10,5,2.1,1,2,1,3,1,268,,15823,125,69,0.545455,389,841,1,1,10,18587,19737,33.6667,262.5,,,0,212951,1438,28,1466,14096,214981,86403,5361,7295,353,27,15673,4233,1317
-1,2,13,1,1,1,1,0,1,115873,,26489,832,123,4.66667,507,1244,1,0,2,26489,39926,28.5,219.143,522,2900.33,1123,7428,36,4199,100591,29116,15940,123566,20527,20170,81769,15678,382991,181529,89710
-1,15,0,1.93333,,0,,1,,,,24681,,46,0.0625,0,1175,,0,15,33130,4686,,,,,30,1280,47751,29771,6220,2564,36305,1344,1126,1361,4664,1429,130,2713,98
-1,15,0,1.53333,,0,,1,,,,3622,,482,0.0625,0,638,,1,13,4562,3288,,,,,208747,8141,2339,2623,4988,7246,932,5538,8574,9030,14926,27913,3098,2804,8454
-1,13,2,1.46154,0,3,0,2,1,290665,,38461,400,115,0.214286,554,1046,0,2,12,57087,34381,,207,593,,8,140809,18813,2864,21378,7416,4704,18428,3747,23622,19853,4868,9343,9248,2708
-1,0,15,,1,,2,,1,255544,,,2840,,16,1573,0,1,,0,,,36,342,867,6514,36,13,238073,17798,60394,145033,4458,3345,158255,1481,1437,1247,99,67570,69163
-1,12,3,1.75,0,0,0,0,1,384473,,6318,249,70,0.307692,443,996,0,1,12,11226,5965,,248.667,,,0,54886,1508,312,2190,891,469,1517,472,983,859,2124,1396,564,867
