#churn_class_label,num_questions,num_answers,num_answers_recvd,a_score,q_score,a_score_stddev,q_score_stddev,relative_rank_pos,answering_speed,mean_rep_co_answerers,mean_rep_answerers,mean_rep_questioner,time_for_first_ans,a_q_ratio,a_post_length,q_post_length,a_comments,q_comments,num_q_answered,mean_max_rep_answerer,mean_accepted_answerer_rep,qrep1,qrep2,qrep3,qrep4,gap1,gap2,gap3,gap4,gap5,gap6,gap7,gap8,gap9,gap10,gap11,gap12,gap13,gap14,gap15,gap16
-1,0,16,,1,,1,,1,21967,,,6994,,17,989,0,0,,0,,,39.6667,278.6,1289.33,21305.6,28,37263,49,1421,91,212,1374,570,16,34,13,69,3321,1767,1126,1642
-1,0,16,,1,,1,,1,163161,,,1416,,17,550,0,1,,0,,,11.6667,102.5,917.4,5929.33,536287,15,7,12,6,2669,11735,2,7,5,6,13,7,2,8,2
-1,14,2,2.14286,0,2,0,2,1,4901,,14885,165,50384,0.2,846,1968,0,1,13,32772,25733,,165,,,318141,82371,112314,12524,4722,2295,489,1155,13021,15799,1478,22904,57602,4647,18757,50339
-1,3,13,1.66667,1,5,2,3,1,3341,,21721,1029,181,3.5,265,182,0,1,3,34563,8967,19.3333,91.75,675.667,3640,3,7840,517,14197,4228,1342,14839,8666,18552,31979,1223,17410,21565,9707,20462,11788
-1,1,15,2,3,12,2,0,2,6137,,1911,5050,610417,8,1331,1877,1,0,1,3606,3606,23,239.5,701.167,11841,38,1397,37218,7344,20942,7859,1089,335,741,282,10144,6922,59,2904,31,12718
-1,3,13,2,1,1,1,0,1,20867,,20506,1368,37,3.5,620,1802,1,1,3,59734,4281,23,250,838.333,6863.5,81,40,44,5856,563,6363,886,6548,828,529,3568,132,527,38532,11142,2377
-1,5,11,2.2,2,5,2,5,1,27182,,6053,7265,2164,2,796,1850,1,0,5,10439,4207,43,345.333,1305.5,17239.8,6,97,22135,10062,101700,11,1559,4250,5926,20015,8359,22,1469,2880,36277,116736
-1,13,3,1.69231,0,0,0,0,2,3104,,30781,75,29,0.285714,1351,865,0,2,13,55791,59935,,75,,,9,188,2908,2518,266,2027,539,1592,1949,671,5,817,2129,18842,1847,170
-1,11,5,2.90909,0,3,0,5,1,236,,32205,1622,382,0.5,385,446,1,2,11,78925,15882,1,,633,3421,0,434,743,7,163,62,8642,96,76,86,65,1135,122,259,806,64
-1,0,16,,0,,1,,1,2485,,,505,,17,540,0,2,,0,,,35.6,176,714,2907,21,7,2772,11,5425,1500,18707,14637,75,5556,1560,15,1428,8477,1441,241872
-1,2,14,2.5,1,2,1,2,1,224536,,53503,484,19,5,425,1554,0,0,2,63125,,13.5,216.75,735.125,,17191,123664,280693,12,15,8,23447,37266,48972,46201,2521,10277,1422,16,81032,544
-1,2,14,1.5,0,0,1,0,1,16695,,1974,349,527,5,547,4073,2,1,2,3788,159,9.25,253,833,,6,146809,1046,42821,112,448,1062,4294,8408,46,17,39,14,14299,25,161
-1,0,16,,1,,2,,2,555,,,2064,,17,943,0,1,,0,,,38.3333,197.2,628.667,6007,12208,1778,6274,501974,163,7029,2907,4561,3976,30402,1615,8147,23096,19181,68707,70897
-1,10,6,2.4,1,2,1,2,1,150379,,20842,955,51,0.636364,261,1215,1,2,9,44558,58648,21,396,618.5,3681,4,31717,10161,6,23011,16,25781,3113,19878,128,515752,1213,4401,132323,92370,47261
-1,16,0,2,,1,,1,,,,3924,,5431,0.0588235,0,2726,,1,14,7069,3152,,,,,29,317,1068,42,55,1277,176,179,176,985,50,65,1293,47,134,15926
-1,5,11,3,2,4,2,4,2,72,,6698,1216,20,2,417,810,1,1,5,9964,9848,19.5,105,515,2865,2405,61220,2184,45,2859,8956,340,2663,1071,5618,21877,22,385,3670,3175,83
-1,2,14,0,1,0,1,0,1,62239,,,324,,5,977,1183,2,2,0,,,14,194.75,925.5,1803,293,4239,2803,106,116,11,137,436,598,783,2246,188,180,253,644,14
-1,11,5,1.36364,1,0,1,1,1,82599,,4032,1118,1148,0.5,755,807,0,0,11,5753,2798,6,309.5,,2483,281124,4157,75955,90781,1880,8086,1722,24449,37450,60434,7345,70742,45634,8957,11519,18722
-1,11,5,1.45455,0,0,0,0,1,1908,,2193,203,40601,0.5,740,792,1,0,11,2995,3868,18.5,325.333,,,0,427999,2958,120872,65056,187911,40682,3228,12704,25637,37476,10425,11187,74,60804,65978
-1,9,7,1.77778,1,1,1,1,1,184752,,32575,1930,6353,0.8,801,1102,0,0,9,37138,12151,,127.333,1029.5,9136,0,1001,10,11670,2877,195760,288108,6247,338150,102526,204108,10468,5160,143928,90933,8777
-1,7,9,1.42857,1,1,1,1,1,431,,9923,590,3117,1.25,662,1174,2,1,7,12534,12448,34.5,171,495.5,3567,0,4971,19954,47535,9660,13570,3678,546,12959,5269,10185,1565,16790,648,2944,12545
-1,14,2,1.28571,0,0,0,1,1,5999,,8720,32,1289,0.2,134,2298,0,1,10,19954,33520,32,,,,74645,14175,41800,10726,2391,1271,4352,1403,20407,11311,48058,176502,100931,131643,209370,67828
-1,0,16,,1,,1,,1,88371,,,1633,,17,515,0,0,,0,,,11.4,,833.4,3650.33,9,86469,24,4,9,9,427,3410,3,28,2885,11552,2,1841,19692,5
-1,10,6,2.8,0,1,0,1,1,189914,,15298,1156,54,0.636364,264,310,1,1,10,23412,18994,,354,703.5,3767,3,1186,108,69,120,1095,321,1411,2261,609,2937,7,1494,6852,294,1430
-1,2,14,2,5,1,10,0,2,890,,12034,1547,11,5,1060,494,2,0,2,14078,13457,32.6667,216.5,931.5,4770,58718,10310,1448,5613,97,1235,2910,1461,95,649,139,6623,1476,1248,5624,54
-1,7,9,1.57143,1,0,1,1,2,12615,,8989,323,36113,1.25,550,1178,1,2,6,10836,11449,37.4,288.5,1073,,30164,90939,231897,44889,6814,97150,113010,3125,28525,28885,376,11046,3,20,5,4
-1,16,0,2.625,,1,,1,,,,20870,,324,0.0588235,0,971,,2,16,44233,30890,,,,,17,66055,825,365,19769,1482,2964,43029,86,11541,245,15739,1280,10910,523,2254
-1,14,2,3.57143,1,3,0,6,1,82124,,21942,202,2095,0.2,368,1100,0,1,14,59721,62913,,201.5,,,0,246,33008,2141,2180,2002,7274,17294,2774,150609,115,1716,14110,9249,4269,340982
-1,15,1,2,2,1,0,1,2,75,,18401,15,30,0.125,97,987,0,1,14,20816,19256,15,,,,14570,1523,2782,1500,4442,2571,3179,6753,298,17279,41863,4384,16828,1829,106,1344
-1,16,0,2.375,,1,,1,,,,15589,,7207,0.0588235,0,878,,1,16,35406,43923,,,,,9,15829,32119,11027,37938,2392,351476,17368,60833,12920,18526,82,22893,10258,27460,9684
-1,5,11,3,0,3,1,4,1,73840,,21593,3877,681,2,464,1385,1,2,4,78495,92473,44,121.333,,7032,25638,20,3012,2557,1750,3498,1041,8,2497,13004,475975,19260,299910,28594,21553,250
-1,15,1,2.2,1,2,0,2,1,3877,,13709,1521,74,0.125,243,578,1,1,14,22741,19066,,,1521,,473765,345,3877,1358,242,42,1657,4568,42443,10385,24642,5698,2847,1098,8934,1157
-1,0,16,,0,,1,,1,50985,,,321,,17,569,0,1,,0,,,24,166.429,678,2468,413226,17589,22,50,14,23,263,686,16,42,19,91,31,5,35,1113
-1,1,15,4,5,71,6,0,2,6070,,2947,9479,60,8,523,657,1,2,1,5584,5584,,374.5,1214.5,12952.4,5297,963,18479,14094,2354,887,22378,31136,54922,1466,7,2751,67935,10076,47,2298
-1,1,15,5,2,5,3,0,2,62700,,4718,1288,3,8,875,1056,1,1,1,11908,6385,16,176,802.5,3798.25,4,5,25,10116,7468,17252,12,8,23,2838,9864,183,52,2700,352,819
-1,13,3,1.53846,0,1,0,1,1,3807,,32856,276,57,0.285714,784,1936,1,1,11,47849,34320,10.5,,806,,0,8573,2799,20,6053,4324,4108,3015,17185,232152,86495,110627,4008,441,8969,902
-1,0,16,,2,,2,,1,1351,,,95,,17,982,0,1,,0,,,25.1818,249,,,3,203,298,54,741,153,8,270,341,856,558,1005,26,98,55,1624
-1,14,2,1.57143,2,2,0,3,1,46,,30175,8472,37389,0.2,306,376,0,1,14,45246,37711,,,808,16135,484,12,12977,21607,2980,12533,28848,63,121,9891,1115,4923,16,1493,13734,4
-1,11,5,2.18182,1,2,1,1,1,2221,,22148,1410,148,0.5,1234,1534,0,2,11,34706,26327,,314,962.5,2405.5,54676,36353,33,1144,2943,214,129245,13434,3950,14664,28609,11649,35766,1519,79561,115014
