#churn_class_label,num_questions,num_answers,num_answers_recvd,a_score,q_score,a_score_stddev,q_score_stddev,relative_rank_pos,answering_speed,mean_rep_co_answerers,mean_rep_answerers,mean_rep_questioner,time_for_first_ans,a_q_ratio,a_post_length,q_post_length,a_comments,q_comments,num_q_answered,mean_max_rep_answerer,mean_accepted_answerer_rep,qrep1,qrep2,qrep3,qrep4,gap1,gap2,gap3,gap4,gap5,gap6,gap7,gap8,gap9,gap10,gap11,gap12,gap13,gap14,gap15,gap16,gap17
-1,14,3,3.07143,1,3,0,3,1,527,,16344,667,25,0.266667,404,1130,0,1,14,32065,23260,,,667.333,,30,6894,15989,4991,13595,15363,1316,39388,14547,22741,9926,5839,12790,105516,37826,19464,183
-1,16,1,1.9375,0,2,0,2,1,7,,23383,42,66,0.117647,992,598,1,1,16,40560,36897,42,,,,17,35944,8756,12765,8825,535,28762,2337,721,657,139,1348,25252,12,22323,79,132
-1,4,13,2.25,8,6,10,8,3,81115,,5989,3560,912,2.8,471,586,1,1,4,11104,4981,,190,721,7746.8,0,22,12,6,92,697,81,6,96,7,43,77,225,76,746,482,1052
-1,0,17,,2,,1,,1,45,,,3262,,18,1029,0,2,,0,,,18,209.25,1067.43,11777.8,62,2482,533,936,32,229,39,125,951,88,197,21,70,7042,229,2492,204
-1,0,17,,1,,1,,2,217382,,,3606,,18,738,0,2,,0,,,32,275.5,636,14678,43472,47028,107139,134976,53351,17117,109,1542,6041,121,1623,87,1091,146,926,159,191
-1,12,5,2.91667,2,4,2,3,1,20,,40942,1053,23,0.461538,417,978,2,1,12,63930,51431,67,243,577,4135,2,100421,152350,78850,217,32871,7063,31349,66,18,79,4064,7325,337,1032,1384,392
-1,16,1,3.5625,0,3,0,2,1,39,,35948,1203,11,0.117647,364,716,1,1,16,88121,69092,,,1203,,10,5737,112,781,217,1421,1396,87,54,4319,6835,62,17207,4504,5615,12527,2849
-1,0,17,,1,,1,,2,196526,,,300,,18,561,0,1,,0,,,41.2,182.444,793,1672,123829,1512,775,17673,15989,1269,2914,10032,5,3,23,30,7115,950,90,187,146
-1,12,5,1.41667,0,0,0,1,1,3974,,2594,311,1677,0.461538,362,1032,0,1,12,4344,2131,,311,,,8653,59,207,94,1136,1396,174,38,1135,156,3,4,149,89,3926,1538,3
-1,0,17,,2,,1,,2,521,,,4096,,18,579,0,1,,0,,,,335.5,970.667,5785.4,15,38,17,833,2022,1850,1331,5326,233,455,1602,7006,1447,5787,4171,8130,17
-1,0,17,,2,,2,,2,32762,,,261,,18,912,0,1,,0,,,32.5714,181.833,781.25,,0,3196,289,13,41,13,3,4,596,3,18,59,32,9,164,9,33
-1,0,17,,1,,2,,1,20031,,,1842,,18,584,0,1,,0,,,14,256.5,786,9632,42035,5,1451,8136,9,1512,1682,4066,2989,49,226,1099,42,4206,3094,5,4348
-1,1,16,3,4,1,4,0,2,617,,6207,7095,13,8.5,685,636,3,0,1,18300,18300,,191,1469,8590.46,0,20345,1055,2232,4388,215,385,1066,195,439,1354,690,33,593,1207,145,1147
-1,17,0,1.29412,,1,,1,,,,6572,,69,0.0555556,0,634,,1,16,7435,5710,,,,,5,20563,778,1661,81,2010,661,388,17395,8227,5737,4743,3874,3065,2956,7044,169
-1,13,4,1,1,1,0,1,1,211,,4012,60,2438,0.357143,461,906,0,3,10,5318,2892,31,89.5,,,125613,93786,3946,10023,13543,29862,2309,135,7,550,804,3,1566,374,4543,6376,124
-1,15,2,2.46667,1,5,0,12,1,83,,14549,472,207,0.1875,639,1311,2,2,15,31718,18453,43,,900,,115430,1016,7357,86,2527,1888,1063,104,14594,3938,4596,1709,1007,1473,17318,5690,25751
-1,5,12,1.4,1,0,1,1,1,16041,,21862,886,84143,2.16667,463,1046,1,3,5,30519,10504,27.3333,119,1113.33,2283.67,60418,11,12,15,27,46,9,65,87,4090,69369,35493,26,218,54,7244,43
-1,1,16,0,0,1,1,0,1,11,,,1081,,8.5,210,388,1,8,0,,,33.1667,127.333,990.5,2946.6,274346,8865,1968,2171,13,8,206,16,3,3056,2420,1456,51,12,45,11,1580
-1,0,17,,2,,3,,2,36503,,,17968,,18,842,0,1,,0,,,33.3333,,659.333,28541.4,0,170007,30132,22,625,396,40,1131,778,10,117664,999,732,7985,385,169663,4896
-1,17,0,1.47059,,1,,1,,,,15782,,109,0.0555556,0,1118,,2,16,24140,10107,,,,,4,1814,112,1048,18496,168,2757,737,26563,144,2822,17267,2800,113,7076,23136,37
-1,1,16,5,1,4,1,0,2,73,,60035,1069,21,8.5,862,2186,2,0,1,271982,271982,15.25,278.333,780.5,3843.33,152627,20,74,4291,41,1435,2967,427575,1477,66,1143,93,32,90,7021,5034,543
-1,7,10,2.42857,0,1,0,1,1,15149,,29045,328,39,1.375,588,759,1,4,6,67384,78501,11.3333,224.6,1062,,130973,4548,11,48,44,1083,1416,5,312,1115,251,54,308,3519,36,5,503
-1,2,15,1.5,2,1,2,0,2,2004,,1274,2142,185,5.33333,482,798,1,0,2,1414,1414,21.6,175,1014.6,8866,159814,4,100868,59030,4,20459,415843,10457,20,1171,25855,22,60,51731,182,62341,782
-1,16,1,1.0625,0,2,0,1,1,4407,,10701,851,174,0.117647,240,991,1,2,12,19473,2292,,,851,,412346,86206,4671,293,634,598,344,4642,2397,10119,4900,54790,1282,12847,3355,5664,23020
-1,0,17,,3,,2,,2,14458,,,6054,,18,232,0,1,,0,,,,188.75,716,8453.92,78106,13101,6579,1718,7331,1133,10344,2606,49324,5829,21035,18689,4828,5639,18976,32523,21728
-1,15,2,1.73333,2,2,0,2,2,1176,,14847,500,7314,0.1875,205,908,0,1,15,24835,21086,,,500,,0,3644,12862,7817,8734,4538,9924,745,1334,719,518,320,5179,11221,1652,10456,1018
-1,6,11,1.5,0,1,0,1,1,436775,,42904,2986,7962,1.71429,623,931,0,0,6,53433,32424,22,85,449,9310,182,50276,96522,8772,27272,7681,3484,27822,7962,7715,7,8626,56140,21751,2553,9419,4
-1,0,17,,1,,1,,1,38,,,553,,18,598,0,0,,0,,,22.875,319.5,1014,2490,38381,6,245,10,17,799,302,180,256,19,685,118,47,549,1041,40,442
-1,0,17,,1,,1,,1,139565,,,1169,,18,636,0,1,,0,,,20,200,976,3869.67,5,357001,1231,6,5,31,8,4,18,5,9,4,9,439699,5,11,6
-1,2,15,1.5,1,0,2,0,1,5087,,700,1197,4784,5.33333,245,701,1,1,2,1081,516,18.3333,184.75,930.6,4167.33,0,124,75,1055,7544,17,1819,117635,2442,1363,19,9,1433,11872,6,4231,5451
-1,5,12,2.6,1,0,1,1,2,764,,38483,793,1220,2.16667,518,1671,2,2,5,76694,7060,36,253,770,5527,278133,99322,2758,13624,128828,454,46976,280,2934,24,6940,30467,44419,5835,51833,13398,2579
-1,7,10,3.28571,3,4,5,5,2,116646,,20811,3495,8,1.375,331,425,1,2,7,48880,24845,,129.5,,4456,8669,5,21,5383,17,4529,93,12,17008,52240,11134,643063,113,15156,51,78857,14345
