#churn_class_label,num_questions,num_answers,num_answers_recvd,a_score,q_score,a_score_stddev,q_score_stddev,relative_rank_pos,answering_speed,mean_rep_co_answerers,mean_rep_answerers,mean_rep_questioner,time_for_first_ans,a_q_ratio,a_post_length,q_post_length,a_comments,q_comments,num_q_answered,mean_max_rep_answerer,mean_accepted_answerer_rep,qrep1,qrep2,qrep3,qrep4,gap1,gap2,gap3,gap4,gap5,gap6,gap7,gap8,gap9,gap10,gap11,gap12,gap13,gap14,gap15,gap16,gap17,gap18
-1,11,7,1.90909,1,1,1,2,1,154246,,24027,1563,8052,0.666667,501,548,1,2,11,38842,47018,36,239.5,520,4172.5,63322,14040,16252,11005,1457,1512,9143,326,13995,347,19,15386,147,17367,11186,7459,4067,1538
-1,6,12,1.66667,1,2,1,1,1,74533,,13152,976,16,1.85714,240,608,1,1,5,29120,10836,18.75,189.5,1200.5,4237,0,44965,11275,51657,8916,2580,7,46053,178817,10194,55928,28733,29563,2120,8006,223953,8698,4209
-1,13,5,2.69231,0,2,0,2,1,143991,,26273,310,41902,0.428571,688,1006,0,1,13,68256,56611,37,378,,,229,14289,31647,16050,150990,25,23129,35801,5882,38864,220262,145305,111600,22515,523028,124,34480,7046
-1,13,5,3.76923,2,6,3,8,2,27020,,15621,22248,137,0.428571,301,1041,0,1,13,40998,11782,,,981,107316,0,2513,5117,28943,2911,22914,16023,2129,6641,2893,18479,381,300,1,1385,10929,3025,419
-1,4,14,1.5,1,1,2,0,1,53455,,37102,1313,49,3,540,569,1,0,4,67553,21388,1,237.25,831.333,3078.25,0,2694,52316,28825,38103,20924,30841,8577,20663,2637,12031,1468,8554,2593,38,146895,639792,130553
-1,3,15,1.66667,1,1,1,1,1,15176,,15119,1357,17,4,745,764,2,2,3,17856,26195,26.7143,406,607.5,5911,0,44,2931,121918,243392,110,115,20479,108,9942,1040,1529,8490,1430,17,7825,7139,16
-1,0,18,,3,,5,,2,9239,,,10205,,19,909,0,0,,0,,,62,,1160.25,13768,0,1205,1959,965,68,130,29,5,211,984,4,17,12,211,4,25,128,15
-1,1,17,2,1,0,1,0,1,735,,8951,2432,58,9,543,1053,1,0,1,17146,17146,17,275.8,950.4,7036.8,263,1349,13,1372,8673,17949,21,1196,71,1322,1590,944,400,203,3663,631,16,707
-1,0,18,,6,,8,,3,38845,,,1249,,19,579,0,1,,0,,,12.25,144.2,1146.75,3426.2,55,2767,21788,37345,9502,36,7060,94,38,1609,1111,21805,1237,5829,1413,34,4367,2987
-1,16,2,1.6875,2,3,0,2,1,114,,7111,594,28038,0.176471,1382,2210,0,2,16,8866,7139,,,594,,75,34,264,194,10046,4060,1761,3282,15534,79490,4297,2323,21537,2277,496,1946,14011,7922
-1,8,10,2.625,1,2,1,2,1,483086,,36987,1243,17,1.22222,648,277,0,1,8,69760,55615,29,145.333,,3553.33,0,14,547,26,41,499,1408,639,14,111,742,3073,1318,7111,11707,17102,14043,36134
-1,18,0,1.5,,1,,1,,,,9344,,899,0.0526316,0,470,,2,16,15121,19607,,,,,20,8932,1548,6274,3734,1633,2478,8802,5276,15781,398,203,4140,1336,2987,8774,23945,27769
-1,0,18,,2,,4,,1,8465,,,10000,,19,357,0,2,,0,,,21.5,289,619,29215.7,486831,136965,80425,39093,11521,14,1107,93,2573,26,222,8530,244,1144,1566,1652,1059,7448
