#churn_class_label,num_questions,num_answers,num_answers_recvd,a_score,q_score,a_score_stddev,q_score_stddev,relative_rank_pos,answering_speed,mean_rep_co_answerers,mean_rep_answerers,mean_rep_questioner,time_for_first_ans,a_q_ratio,a_post_length,q_post_length,a_comments,q_comments,num_q_answered,mean_max_rep_answerer,mean_accepted_answerer_rep,qrep1,qrep2,qrep3,qrep4,gap1,gap2,gap3,gap4,gap5,gap6,gap7,gap8,gap9,gap10,gap11,gap12,gap13,gap14,gap15,gap16,gap17,gap18,gap19
-1,4,15,2.5,2,3,3,3,3,2487,,8582,2194,26,3.2,497,791,1,1,4,26293,52424,33,210.667,734.667,4276.33,5667,734,679,109,1047,3253,15442,1071,3002,7116,4794,5632,3104,2873,4984,62,24,188,18429
-1,17,2,1.41176,1,1,0,1,2,229,,46459,168,229,0.166667,537,795,0,1,16,59887,51872,,168,,,50445,330,88910,86815,201841,8288,83768,123958,2953,1312,162,4313,118030,69897,145,5484,128,174,31421
-1,1,18,2,2,2,2,0,2,18297,,2377,334,13,9.5,450,830,2,0,1,4448,,11.625,178.25,867.833,,10,3,9,85,1119,93708,173281,64457,722587,16,15,7,7,4,2,6,8,6,39
-1,2,17,2,2,0,6,0,1,141,,3680,1045,7139,6,416,4497,1,2,2,6749,610,19.8333,88,1163.5,2643.5,0,11458,10,54,3,77,90,4,3,101,2203,22,1183,15,6,5,26,158,83
-1,8,11,2.125,3,5,3,8,4,106549,,4572,5123,43558,1.33333,461,1610,1,1,8,12125,13631,41,154,1211.33,9480.8,0,3,196699,1517,399,7,72,23,1186,195362,8,128,12225,113712,999,51625,5842,2630,90
-1,19,0,1.73684,,1,,1,,,,2810,,4343,0.05,0,1326,,1,18,8097,10887,,,,,12,14659,12899,2755,6288,18447,2140,5605,5126,2014,4361,32682,5585,5041,799,1663,4058,647,619
-1,0,19,,1,,1,,1,127,,,381,,20,382,0,2,,0,,,32,197.75,779.125,,482072,42047,108,12558,234,5522,469,2523,1557,1798,3770,277,9807,760,9355,8718,1558,42976,1455
-1,10,9,1.6,3,1,2,0,3,220154,,7616,1497,126,0.909091,593,1750,1,2,10,9260,7252,20.5,117,489,3614.33,0,14171,1657,1086,31525,7,8739,2955,5653,29191,22714,1380,6142,5649,4243,14649,11130,329,24296
-1,0,19,,1,,1,,1,20,,,562,,20,293,0,1,,0,,,25.5,243,895.667,1964.5,12,9,91,5,97,5174,119,43,159,37,98,47,1088,2,110,15,2,39,13
-1,5,14,1.6,0,0,0,1,1,15479,,20492,437,55,2.5,644,1449,2,2,5,23671,23613,35.5,199.4,706.75,2148,94963,17896,257830,20220,17473,2944,1688,446181,210,228,754,25,3,646,95,34,22,1362,782
