#churn_class_label,num_questions,num_answers,num_answers_recvd,a_score,q_score,a_score_stddev,q_score_stddev,relative_rank_pos,answering_speed,mean_rep_co_answerers,mean_rep_answerers,mean_rep_questioner,time_for_first_ans,a_q_ratio,a_post_length,q_post_length,a_comments,q_comments,num_q_answered,mean_max_rep_answerer,mean_accepted_answerer_rep,qrep1,qrep2,qrep3,qrep4,gap1,gap2,gap3,gap4,gap5,gap6,gap7,gap8,gap9,gap10,gap11,gap12,gap13,gap14,gap15,gap16,gap17,gap18,gap19,gap20
-1,7,13,1.71429,6,3,14,2,2,12020,,13314,936,13204,1.75,236,440,1,1,7,21710,20596,19.4,,1016,2330.67,2,70655,302124,5422,3288,81614,703,11,143540,9,127877,1,78010,1395,2829,36255,1228,115,1,55057
-1,20,0,1.45,,0,,1,,,,3803,,4255,0.047619,0,2251,,1,18,7392,6987,,,,,57875,224030,3061,30291,1144,14423,2914,11757,1416,300,1033,304,4197,90,29,4201,44,28,7303,1117
-1,16,4,2.75,3,3,3,3,2,15493,,24386,492,4867,0.294118,483,1108,0,0,16,31215,25522,,145,608,,425,9733,1440,46203,16192,13204,24354,6913,14002,23295,2113,26764,104342,5292,29966,74851,2713,13378,91002,38822
-1,7,13,1.85714,1,1,1,1,1,80822,,2748,370,5091,1.75,706,587,1,0,7,4588,1043,32.6667,290.714,892,,0,3056,11,22725,434,316528,1280,5939,246,164157,1250,202778,13620,289196,4679,8,50214,67,60050,1179
-1,20,0,1.1,,0,,1,,,,6994,,94,0.047619,0,874,,1,16,8938,5161,,,,,16,31142,357,36730,3600,9602,258,11115,132,7911,10684,439,11042,1765,9807,9371,16560,3123,16923,49832
-1,1,19,0,1,0,1,0,1,126,,,438,,10,262,1243,2,3,0,,,27.8571,161.333,882.8,2754,446503,9,250,8611,1061,6115,1050,17,1613,3084,7269,18461,2674,1417,46076,23185,1229,3023,2833,14447
-1,7,13,2.42857,6,4,15,3,2,250,,33702,2526,25,1.75,660,1085,1,1,7,80603,80603,,287.333,1098.67,6192.67,41,94,6,69,1117,171,1593,11207,59,1732,16929,20277,159775,28056,12,300912,15198,41685,27577,4494
-1,2,18,2.5,1,1,1,0,1,6340,,1406,2681,747,6.33333,403,1398,1,1,2,1830,1149,31.5,267.25,948.333,5558.71,9989,10007,3,16,11246,49422,132286,7,49,36019,2533,31806,56360,8596,310,1271,178,2571,9923,5893
-1,16,4,2,1,1,1,1,1,85744,,29957,530,56481,0.294118,332,923,1,0,15,78888,63771,,376,993,,25,259452,18596,1829,150,40271,569,28098,70523,1551,6567,28951,7237,43616,29674,19295,11515,4051,11656,265
-1,2,18,3.5,1,3,3,1,2,1455,,49845,3669,13,6.33333,220,343,1,0,2,135895,121466,50,122,717.625,9336.83,5,1,6,407,11,830,1383,275,14,1147,279,158,938,3031,254,1104,1,321,63,1109
-1,6,14,6.16667,0,3,1,4,1,27451,,31865,6472,13,2.14286,918,816,0,2,6,72770,36967,22,144.5,840.333,12472.8,196,59,4085,20,32,123,12,16,11189,59225,122,179,1089,331464,7210,16,16,19,32757,75379
-1,1,19,2,1,1,1,0,1,65527,,364,2899,542,10,542,1277,1,0,1,551,551,26.5,176.5,858.333,12821,8,66559,70476,42,2870,11,1323,11,5,34474,206,68,11,293,1258,4,2839,2328,4,15958
-1,19,1,1.42105,0,0,0,1,1,24244,,4972,62,530,0.1,100,1569,0,1,18,7219,5286,62,,,,3,2913,2838,4331,5697,7214,8481,8549,29,2961,18727,8876,10009,1441,1309,118,1653,1064,4463,1474
-1,9,11,2.22222,0,1,1,1,1,80397,,16826,1393,480,1.2,241,698,2,2,9,36876,9807,3.66667,192,1236.67,5511,25,27685,1986,3368,10856,729,7,6,659,13631,911,158,344,9,240,3563,1305,3617,17308,4
-1,18,2,1.5,1,0,1,1,2,12,,19981,183,1067,0.157895,750,1827,1,2,17,23525,23363,55,310,,,10,65,68,33277,2836,4220,36,123,1311,2662,1825,4342,1249,4473,8407,6893,3200,7171,12,11285
