#churn_class_label,num_questions,num_answers,num_answers_recvd,a_score,q_score,a_score_stddev,q_score_stddev,relative_rank_pos,answering_speed,mean_rep_co_answerers,mean_rep_answerers,mean_rep_questioner,time_for_first_ans,a_q_ratio,a_post_length,q_post_length,a_comments,q_comments,num_q_answered,mean_max_rep_answerer,mean_accepted_answerer_rep,qrep1,qrep2,qrep3,qrep4,gap1,gap2,gap3,gap4
-1,0,4,,1,,0,,2,54,,,654,,5,726,0,1,,0,,,9.5,95,,2502,28752,5908,5624,97
-1,1,3,0,1,0,1,0,1,110816,,,10399,,2,264,1349,0,0,0,,,7,75,,31116,3869,21883,92116,5978
-1,2,2,3,1,1,0,0,1,200148,,10685,627,25,1,363,631,0,2,2,28646,17197,,116,1137,,3,2385,1740,166963
-1,2,2,3,0,1,0,0,1,4662,,5942,8,40,1,1437,1038,1,0,2,24077,,8,,,,9,1038,7248,2913
-1,2,2,3.5,0,9,0,8,1,520,,7620,16862,26871,1,629,1506,0,2,2,21937,15919,,,608,33116,15,830,9110,4142
-1,0,4,,0,,0,,1,1194161,,,3470,,5,647,0,0,,0,,,,331,,4516.67,15,104982,20,409
-1,3,1,2,0,2,0,0,1,4547,,1373,509,18398,0.5,2077,2183,0,1,3,2222,996,,,509,,9,21360,4547,910
-1,1,3,2,1,0,0,0,2,300,,9675,3602,17,2,659,1334,1,0,1,16933,16933,,193,941,9673,1637,20298,2887,48226
-1,4,0,1.5,,0,,0,,,,2195,,3146,0.2,0,1218,,3,4,4028,5357,,,,,4,24440,2829,174
-1,2,2,0,0,0,0,0,1,113355,,,9,,1,470,2549,1,0,0,,,8.5,,,,0,6906,15,188
-1,1,3,13,0,45,0,0,1,295,,836,20373,30,2,1453,744,0,6,1,3331,1594,,,,20373.3,0,23,505,134
-1,0,4,,1,,1,,2,8906,,,9943,,5,233,0,1,,0,,,,,756,14536,0,1611,53604,25
-1,0,4,,0,,0,,1,157647,,,96,,5,689,0,0,,0,,,15.6667,336,,,7,4430,17,1270
-1,1,3,1,0,-3,0,0,1,23018,,1163,109,7822,2,363,70,1,0,1,1163,,1,163.5,,,482231,63940,74202,454
-1,4,0,2,,1,,1,,,,25444,,61,0.2,0,1049,,2,4,49238,,,,,,0,37,62,69
