#churn_class_label,num_questions,num_answers,num_answers_recvd,a_score,q_score,a_score_stddev,q_score_stddev,relative_rank_pos,answering_speed,mean_rep_co_answerers,mean_rep_answerers,mean_rep_questioner,time_for_first_ans,a_q_ratio,a_post_length,q_post_length,a_comments,q_comments,num_q_answered,mean_max_rep_answerer,mean_accepted_answerer_rep,qrep1,qrep2,qrep3,qrep4,gap1,gap2,gap3,gap4,gap5
-1,1,4,1,1,1,1,0,1,41661,,8278,620,4,2.5,225,1531,1,0,1,8278,8278,41,333,1053,,30778,13946,468,9432,8700
-1,0,5,,10,,14,,5,30692,,,9043,,6,1068,0,0,,0,,,11,302,,14967.3,0,6,4,5,13
-1,0,5,,1,,1,,1,99883,,,9628,,6,339,0,1,,0,,,46,78,674,23672,19,102304,190265,34,30
-1,1,4,6,2,1,1,0,2,209609,,43234,4534,5,2.5,779,555,0,0,1,188328,,,,1514,5540.67,0,90,16,52,82
-1,1,4,1,1,0,0,0,1,731282,,180,2063,16224,2.5,927,621,0,0,1,180,,,377,621,5192,2,538740,154476,402926,111304
-1,5,0,2.4,,7,,10,,,,17965,,101,0.166667,0,398,,0,5,48094,47407,,,,,0,811,417,1176,9211
-1,3,2,1.66667,0,1,0,1,1,3186,,9482,69,1775,0.75,308,673,0,3,3,17627,1970,,69,,,9,11581,4393,922,133
-1,1,4,0,0,0,0,0,1,388950,,,1083,,2.5,203,2485,0,0,0,,,,285,805,2955,1924,195472,6,13274,8
-1,5,0,3.6,,1,,1,,,,8669,,406,0.166667,0,449,,1,5,20323,14615,,,,,1,15739,24,1855,11196
-1,1,4,2,2,1,1,0,2,6,,11190,298,4,2.5,270,267,0,1,1,14581,7798,18.5,,578,,11606,9,1218,1963,8
-1,1,4,2,1,0,0,0,1,11213,,985,758,32144,2.5,655,375,0,0,1,1357,1357,16,142,1436.5,,20113,34523,5977,11443,52153
-1,5,0,2.2,,0,,0,,,,20907,,11,0.166667,0,882,,2,5,23699,20067,,,,,19,9803,1708,4383,6834
-1,1,4,3,16,8,5,0,3,19,,15793,3031,651,2.5,559,378,3,0,1,23958,23422,,340,,5722.5,0,865940,47,3544,217
-1,0,5,,0,,1,,1,17,,,253,,6,278,0,1,,0,,,4,118,1021,,502807,1525,901,360,1425
-1,5,0,1.4,,-1,,2,,,,7841,,53,0.166667,0,1062,,2,5,10262,6771,,,,,5,1151,34,8743,17093
-1,5,0,2.2,,1,,1,,,,15072,,16,0.166667,0,1739,,0,5,38689,24441,,,,,17,171324,17177,38889,52015
-1,2,3,3,0,1,0,0,1,2964,,3189,484,47041,1.33333,603,325,0,1,2,6285,,,98,677.5,,12988,39401,21542,38581,2798
-1,4,1,1.25,0,2,0,2,1,45943,,9768,85,14594,0.4,216,588,0,0,4,16671,29400,,85,,,0,5709,38838,1395,15
-1,2,3,2,1,3,1,0,1,37470,,429,440,1253,1.33333,214,1085,1,0,2,954,200,,200,920,,23478,67711,2405,21668,101
-1,2,3,1.5,2,0,3,0,1,452,,2847,468,56,1.33333,515,1143,1,3,2,5099,10146,,213.5,977,,1907,5177,17,1458,213044
-1,0,5,,1,,0,,1,64,,,386,,6,682,0,0,,0,,,,241,968,,0,1232,5882,1298,43242
-1,4,1,1.5,0,1,0,1,1,1357607,,644,53,28701,0.4,961,2481,0,2,4,799,805,53,,,,61,1947,13423,271342,5445
-1,1,4,1,1,1,1,0,1,217748,,4499,2796,23518,2.5,710,222,0,0,1,4499,4499,,89,1187.5,8721,32,16,696452,41,1053
-1,5,0,1.8,,1,,1,,,,6228,,4435,0.166667,0,648,,1,4,11818,4454,,,,,146877,5862,21495,388,1323
-1,1,4,1,3,1,2,0,2,452147,,166,3173,5319,2.5,458,277,0,0,1,166,166,,166,1497,5515,5,5319,827430,182452,44454
-1,5,0,1.6,,2,,2,,,,8337,,620,0.166667,0,768,,0,5,10137,8247,,,,,0,4060,50355,6086,37471
-1,2,3,6,5,21,1,18,5,21866,,7084,2943,9,1.33333,937,318,0,1,2,18740,6957,,260.5,,8309,642,26,670,18,656
-1,0,5,,3,,3,,2,128574,,,1920,,6,464,0,1,,0,,,11,,1215,3580.5,176992,15,4590,2659,8
-1,2,3,2.5,1,1,0,0,1,81,,21646,181,14,1.33333,334,882,0,1,2,51659,51659,1,270.5,,,35706,257893,13,57668,36510
-1,0,5,,1,,0,,1,286992,,,1938,,6,1530,0,0,,0,,,,303,1086,6129,41721,41608,105325,40779,35392
-1,5,0,2,,2,,1,,,,51260,,15,0.166667,0,114,,2,5,76331,45386,,,,,2,78,1091,65,33
-1,2,3,3,7,6,7,1,2,99673,,44185,36112,19,1.33333,459,1216,2,1,2,117066,11639,1,,,54167,31768,4789,3176,15072,23893
-1,1,4,2,0,4,0,0,1,2133,,6562,3271,404,2.5,552,677,1,2,1,12187,12187,,,1090.5,5452,70,652,4950,1937,10268
-1,3,2,1.33333,0,1,0,1,1,1417,,1152,169,1282,0.75,883,2044,0,5,3,1767,1767,32,305,,,576,27720,2078,24414,17265
-1,5,0,0.6,,0,,0,,,,4716,,39,0.166667,0,1165,,0,3,4716,6194,,,,,0,18686,47775,58886,111086
-1,5,0,3.8,,4,,6,,,,16004,,4,0.166667,0,684,,1,5,46264,60029,,,,,0,11762,4111,3106,274
-1,1,4,2,7,9,4,0,3,43531,,4994,2487,13,2.5,751,122,1,1,1,7309,2679,,,820.333,7486,51,547,38309,1879,4
-1,2,3,1.5,0,2,0,0,1,7105,,2223,9183,20613,1.33333,699,1129,0,2,2,2247,2200,,,755,26348,1,297,2175,122,27
-1,4,1,4.25,-2,1,0,1,1,822,,7831,453,3,0.4,179,500,1,2,4,21971,12505,,,453,,3179,822,4950,946,1589
-1,5,0,1.4,,0,,1,,,,8436,,14,0.166667,0,922,,1,5,13752,8721,,,,,5,1251,16234,1488,24371
-1,0,5,,1,,1,,1,37,,,99,,6,257,0,3,,0,,,24.25,399,,,86488,1582,1142,1789,1015
-1,5,0,1,,0,,0,,,,2440,,14,0.166667,0,1158,,1,4,3531,1800,,,,,9,175734,28811,6874,24944
-1,2,3,4,1,2,1,2,2,5,,21160,3032,14,1.33333,289,5233,1,7,2,47049,22183,29,,1515,7553,31932,2277,14182,608,71781
-1,0,5,,19,,14,,3,150,,,3508,,6,691,0,3,,0,,,,,816,5302.67,274,3758,2771,2974,172
-1,2,3,1,1,2,1,2,1,33637,,129,130,1128,1.33333,869,1078,0,6,1,191,66,66,162,,,37,210,1128,7991,29030
-1,5,0,2.2,,0,,1,,,,3684,,1351,0.166667,0,794,,1,5,4784,1949,,,,,0,24174,1801,112,1240
-1,3,2,1.33333,2,1,1,1,2,240794,,2662,1589,1047,0.75,364,1616,0,0,3,2958,,,82,,3095,0,30509,50448,3989,121204
-1,0,5,,2,,3,,2,202,,,4413,,6,839,0,2,,0,,,,,793,5318.5,0,14476,15534,11494,7553
-1,5,0,2.8,,1,,1,,,,20947,,12,0.166667,0,988,,1,5,42617,7766,,,,,17,51833,7336,8236,359
-1,0,5,,3,,2,,3,112,,,13174,,6,706,0,0,,0,,,,265,,16401.2,0,20428,59225,7193,9228
-1,5,0,1.4,,0,,0,,,,4343,,15,0.166667,0,571,,1,5,6207,6207,,,,,13,1135,26,1982,861
-1,0,5,,1,,1,,1,299,,,108,,6,827,0,1,,0,,,15.3333,248,,,126,1373,2867,5737,10454
-1,5,0,2.6,,0,,1,,,,19109,,27,0.166667,0,249,,3,4,60107,,,,,,25,482,18575,1225,456
-1,0,5,,1,,2,,2,349416,,,836,,6,652,0,0,,0,,,11.5,130,1420,2608,0,5,4,94,16
-1,0,5,,0,,0,,1,271695,,,567,,6,439,0,2,,0,,,26,95,,2591,20470,7,25703,107,4246
-1,3,2,2.66667,1,3,1,3,1,111,,5857,824,143,0.75,947,588,0,1,3,15657,15612,,,824,,0,118,1370,25,79
-1,5,0,0.8,,1,,1,,,,10852,,353,0.166667,0,519,,2,4,10852,335,,,,,4,56,1444,621,4331
-1,4,1,2,3,1,0,1,1,65,,3365,678,173,0.4,2566,1434,0,1,4,3714,4008,,,678,,30,5064,176,2233,218
-1,1,4,7,1,12,1,0,2,79614,,9782,2985,35,2.5,167,1052,0,0,1,17884,9722,,112,,5858.5,10234,9,18,1148,155
-1,5,0,1.4,,1,,1,,,,17250,,11,0.166667,0,923,,0,5,18178,22203,,,,,140928,22632,1496,34854,1116
-1,0,5,,1,,2,,2,7678,,,3949,,6,452,0,1,,0,,,1,,1349,7222,7,137900,15,120,60282
-1,4,1,1.25,2,1,0,1,2,573,,2561,128,11950,0.4,932,1006,0,1,4,2570,2570,,128,,,63333,573,13718,9817,7677
-1,0,5,,0,,0,,2,7512,,,6583,,6,387,0,0,,0,,,31,78,,10935,3201,34349,3303,16783,20405
-1,0,5,,1,,1,,1,126791,,,608,,6,721,0,0,,0,,,,238,700.5,,9,16,535317,32,11
-1,1,4,1,1,0,2,0,1,711830,,71,333,5639,2.5,1045,2141,1,0,1,71,71,1,390,607,,7,9901,200166,3109,11504
-1,0,5,,1,,1,,2,73,,,1378,,6,1502,0,0,,0,,,14,213,,6438,12,174,41,29,1272
-1,0,5,,5,,5,,2,3794,,,1599,,6,564,0,0,,0,,,,106,1556.5,2387,461,11,1095,8580,25
-1,5,0,1,,0,,0,,,,3730,,27414,0.166667,0,2177,,2,4,4583,,,,,,11509,8673,1627,8608,295
-1,5,0,0.4,,0,,2,,,,532,,25,0.166667,0,703,,1,2,532,,,,,,407,4197,2691,3067,9705
-1,4,1,2,0,1,0,0,1,4516,,31057,20,48266,0.4,266,861,0,1,4,74746,138969,20,,,,5,4516,19,8713,38796
-1,2,3,7,0,4,0,2,1,236,,11305,5063,8,1.33333,264,1354,0,0,2,35725,5338,,,,5063.33,125,12,9,2443,34
-1,4,1,1.25,0,0,0,1,1,35,,22413,2903,11,0.4,214,562,0,2,4,24551,20274,,,,2903,237681,1450,8568,1523,56
-1,3,2,1.66667,1,5,1,2,2,1144,,34662,350,106,0.75,1551,1264,2,0,3,37370,36417,,350,,,313053,15896,980,783529,1307
-1,2,3,5.5,5,8,2,2,3,4,,13160,3757,4,1.33333,145,213,0,1,2,59928,1875,53,,665,10552,29,42,1104,4,66
-1,5,0,0.8,,0,,0,,,,4126,,44,0.166667,0,797,,1,3,4808,,,,,,12,315310,75244,42472,14555
-1,0,5,,1,,1,,1,33,,,405,,6,649,0,1,,0,,,3,147.5,864.5,,27,89,27,15,20
-1,4,1,2.25,0,0,0,0,1,67,,6511,159,42432,0.4,519,952,0,2,4,15356,15356,,159,,,0,91,1356,144212,13242
-1,0,5,,5,,2,,3,188,,,10147,,6,798,0,1,,0,,,14,,,12680.8,53,328,101,67,65
-1,1,4,3,1,0,0,0,2,85323,,8164,4070,3,2.5,559,1764,0,0,1,14825,2203,,,,4070.25,30,21736,80677,386010,12
-1,0,5,,1,,1,,1,168,,,4896,,6,480,0,0,,0,,,21,,1022,9270,22,1054,526,2418,217
-1,5,0,2.2,,0,,1,,,,1936,,31,0.166667,0,1310,,4,5,3039,1982,,,,,8,1764,2530,1133,2792
-1,5,0,0.6,,1,,1,,,,25859,,16,0.166667,0,1854,,4,2,27674,27674,,,,,0,1069,270806,45,2024
-1,2,3,3.5,1,8,0,6,1,727,,5907,64,3919,1.33333,369,1050,1,1,2,9173,10248,23,146,,,46296,8794,17802,4182,58
-1,1,4,2,3,7,3,0,2,31528,,114708,9172,1,2.5,1484,2859,1,0,1,218276,218276,,,669,13424,0,221269,46,25029,79066
-1,0,5,,1,,1,,2,78559,,,3383,,6,1119,0,0,,0,,,12,,588,6466.5,0,26269,5,1113,10280
-1,0,5,,0,,0,,1,87332,,,1072,,6,600,0,1,,0,,,49,80,494,2368.5,73,10,40,2944,4260
-1,1,4,12,1,4,1,0,1,5,,3649,2921,2,2.5,274,1207,1,0,1,14343,9667,,399,531,5377,23,32,5585,101,44
-1,5,0,1.8,,0,,1,,,,11583,,49,0.166667,0,1431,,3,5,13420,16435,,,,,220373,18707,263281,21919,2524
-1,4,1,0.75,2,0,0,0,2,5,,1330,13498,160,0.4,1060,861,0,1,2,1699,1699,,,,13498,12,334185,1289,28141,19352
-1,0,5,,1,,0,,1,212131,,,2005,,6,399,0,1,,0,,,39.6667,,1298,8610,26,130,2655,215,7084
-1,0,5,,0,,0,,1,195213,,,2970,,6,553,0,0,,0,,,,,775,3702,0,28511,10375,3,853
-1,0,5,,1,,1,,3,50,,,4522,,6,650,0,1,,0,,,23.3333,,626,21912,147138,5853,2513,16,553
-1,2,3,1,0,3,0,2,1,539277,,3937,5266,2308,1.33333,919,2619,1,0,2,3937,5722,,,,5266,219813,147283,330032,135377,160492
-1,5,0,1.8,,1,,0,,,,12171,,7,0.166667,0,687,,1,5,18949,20570,,,,,191,15655,3004,5667,388
-1,0,5,,0,,1,,1,38,,,566,,6,114,0,1,,0,,,6,110.5,642,1962,5,101053,66230,5,27
-1,5,0,2.2,,1,,1,,,,23505,,25248,0.166667,0,658,,2,5,73933,34436,,,,,346793,342843,10268,4000,17377
-1,5,0,1.8,,2,,1,,,,5637,,8,0.166667,0,883,,1,5,7917,7917,,,,,0,85,199,175622,187
-1,4,1,2.25,0,0,0,0,1,67,,60072,822,10,0.4,410,991,0,2,4,107861,57346,,,822,,0,4300,2629,1530,67
-1,4,1,2.25,1,2,0,2,1,5412,,11221,84,3849,0.4,952,1235,0,4,4,27152,35905,,84,,,27967,79,25,5307,42004
-1,5,0,1,,0,,0,,,,9263,,73,0.166667,0,6845,,1,4,9425,1154,,,,,32,3985,2794,105,7528
-1,4,1,1.25,0,1,0,1,1,27,,99161,135,18,0.4,793,469,0,1,4,123504,246877,,135,,,14,27,7724,4833,1490
-1,4,1,1.25,0,0,0,0,1,7238,,3446,36,79561,0.4,272,607,0,0,4,6338,1072,36,,,,7021,21736,7238,64444,306388
-1,0,5,,3,,2,,2,18637,,,23829,,6,945,0,1,,0,,,,434,948,39254.7,0,4644,17265,1939,86
-1,5,0,1,,0,,1,,,,8516,,15,0.166667,0,1612,,1,3,8893,1494,,,,,7256,133,1883,2163,1314
-1,4,1,1,0,0,0,0,1,919,,4488,12,351,0.4,439,4375,0,1,3,4534,12,12,,,,7,919,103568,44256,106
-1,4,1,1,0,2,0,2,1,21,,98687,18,37,0.4,461,1135,3,0,4,98687,98687,18,,,,57521,3395,4465,4764,2267
-1,0,5,,1,,1,,1,221,,,2149,,6,524,0,0,,0,,,,374,549.667,8720,86835,29818,1513,23,27001
-1,4,1,5.75,10,14,0,9,2,4,,6805,939,37,0.4,285,247,1,0,4,20420,13466,,,939,,0,1209,1427,179,1376
-1,4,1,1.75,0,3,0,2,1,2606,,29565,84,124583,0.4,952,1154,0,1,4,58271,1176,,84,,,9,2606,9096,18416,164022
-1,1,4,2,8,1,11,0,2,126582,,8771,2756,169,2.5,1176,287,0,0,1,16719,,,338,823,7107,2,27062,227685,3578,443578
-1,1,4,4,2,10,2,0,2,88,,15549,2673,5,2.5,297,312,2,0,1,59957,59957,,421,1310.5,7648,370175,18,2389,10258,60625
-1,5,0,2,,1,,1,,,,8833,,209,0.166667,0,1355,,1,5,10919,11026,,,,,34859,116573,295312,715,5613
