#churn_class_label,num_questions,num_answers,num_answers_recvd,a_score,q_score,a_score_stddev,q_score_stddev,relative_rank_pos,answering_speed,mean_rep_co_answerers,mean_rep_answerers,mean_rep_questioner,time_for_first_ans,a_q_ratio,a_post_length,q_post_length,a_comments,q_comments,num_q_answered,mean_max_rep_answerer,mean_accepted_answerer_rep,qrep1,qrep2,qrep3,qrep4,gap1,gap2,gap3,gap4,gap5,gap6
-1,1,5,4,2,3,3,0,2,377474,,14913,1403,2393,3,944,5181,1,12,1,29330,,,160,488,5390,37,4565,538194,2482,2232,2033
-1,1,5,2,-1,2,3,0,1,9,,2927,900,14,3,499,931,2,4,1,5853,5853,30,112,677,3650,10089,3062,23713,34448,41,2316
-1,5,1,1.6,1,1,0,1,1,1317,,2477,46,5039,0.333333,1123,730,0,0,5,4341,,46,,,,21,741,82056,1752,1317,20033
-1,6,0,2.33333,,1,,1,,,,17149,,6,0.142857,0,531,,2,5,33123,2430,,,,,3,1258,8423,7163,105,299
-1,3,3,1.66667,1,1,1,0,1,8385,,673,80,5657,1,2293,2459,1,0,2,1637,1637,1,120,,,60706,1363,2431,59595,10955,7358
-1,1,5,1,2,3,2,0,1,122,,11621,1931,9,3,216,1306,1,0,1,11621,11621,,103,453,3584.5,7,35,8,14,144,3
-1,6,0,2.16667,,1,,1,,,,55498,,799,0.142857,0,627,,0,6,77334,77032,,,,,23,4970,6583,2737,710,2078
-1,0,6,,10,,9,,5,445,,,4532,,7,1152,0,0,,0,,,,,990,5240,192,39,30,53,73,52
-1,0,6,,0,,1,,1,7186,,,5886,,7,194,0,0,,0,,,,69,522,8681.25,104216,7,1622,15155,1,22
-1,6,0,1.5,,0,,0,,,,23798,,786,0.142857,0,847,,1,5,59315,65025,,,,,0,11256,17311,292731,161598,8669
-1,6,0,1.16667,,2,,2,,,,5641,,25226,0.142857,0,1063,,0,5,7532,5156,,,,,80,21425,49142,1774,6615,25020
-1,2,4,8.5,1,6,1,5,1,4200,,17971,2771,6,1.66667,637,688,0,1,2,68637,25645,,421,508,7384,4,1794,36,8,190161,15612
-1,4,2,1.5,0,2,0,2,1,6146,,18023,47,359,0.6,264,1154,0,0,4,26436,13436,47,,,,17,59232,106587,11188,23640,1103
-1,2,4,2,2,3,4,0,2,18385,,75758,1760,27,1.66667,704,1415,0,4,2,134590,134590,21,85,1234,5701,133,3159,26090,1147,8,112
-1,0,6,,2,,4,,1,164747,,,1275,,7,678,0,2,,0,,,40,113,,7159,0,56607,16,11717,13,11379
-1,4,2,2.5,3,3,2,3,1,9,,9157,1778,66,0.6,323,785,1,1,4,19758,6085,,139,,3416,0,374275,132,1283,2568,2092
-1,4,2,1.5,0,2,0,2,1,31721,,19001,972,19,0.6,303,892,1,1,4,24772,24489,,192,,1751,3,167,459,13,694,74
-1,4,2,0.75,1,1,0,0,1,812983,,39789,5573,11,0.6,1230,1524,0,4,3,39789,39789,,,,5573,0,9,1237,7442,12681,4395
-1,5,1,3,2,1,0,0,1,833426,,14391,8430,109215,0.333333,303,1084,0,2,5,34070,2140,,,,8430,1309,19022,19334,20271,2838,5
-1,2,4,2.5,0,2,0,0,1,1438,,30418,1613,23,1.66667,207,1119,1,1,2,77118,7838,6,,1314,2565,14,1424,1794,13,396,90
-1,2,4,1,2,2,2,1,1,278416,,14614,485,19,1.66667,333,756,1,1,2,14614,29052,,247.5,960,,0,32148,28,368907,1315,8173
-1,6,0,1.83333,,0,,1,,,,5102,,17,0.142857,0,2642,,0,6,6420,5748,,,,,3,36852,1384,809,745,1064
-1,0,6,,6,,9,,2,21,,,8125,,7,625,0,1,,0,,,,,558,9638.2,5763,8649,3153,577,885,484
-1,0,6,,1,,1,,2,68,,,521,,7,386,0,1,,0,,,33,150,563,2195,1518,1423,131,2693,107,1174
-1,3,3,0.666667,1,0,0,0,1,847989,,4653,2118,90,1,420,1399,0,0,2,4653,1807,6,,,4229,481071,28850,8598,3206,888,33
-1,6,0,2.16667,,2,,1,,,,59530,,13,0.142857,0,550,,2,5,154052,107416,,,,,0,1089,46226,24580,21733,28935
-1,5,1,1.8,1,0,0,1,1,3999,,16456,26,1006,0.333333,2317,1811,0,3,4,31331,,26,,,,17,38991,189156,57080,3999,330444
