#churn_class_label,num_questions,num_answers,num_answers_recvd,a_score,q_score,a_score_stddev,q_score_stddev,relative_rank_pos,answering_speed,mean_rep_co_answerers,mean_rep_answerers,mean_rep_questioner,time_for_first_ans,a_q_ratio,a_post_length,q_post_length,a_comments,q_comments,num_q_answered,mean_max_rep_answerer,mean_accepted_answerer_rep,qrep1,qrep2,qrep3,qrep4,gap1,gap2,gap3,gap4,gap5,gap6,gap7
-1,0,7,,1,,1,,1,139713,,,349,,8,835,0,1,,0,,,13,259.5,631.667,,72024,7120,66,8,1181,6219,14125
-1,7,0,1.42857,,2,,2,,,,26193,,8559,0.125,0,1249,,0,6,45152,89510,,,,,0,15810,4488,1296,192,34045,6177
-1,3,4,1.33333,1,0,2,0,3,3435,,2705,1688,4963,1.25,1394,1257,3,2,3,4586,514,61,247.5,,6195,67892,11025,4842,783,6163,39,99
-1,5,2,2.4,0,2,0,2,1,20927,,32039,367,6769,0.5,398,1096,1,0,5,54425,16459,,167,567,,0,3668,173631,39987,4149,34310,151
-1,5,2,2,1,0,0,1,1,60,,6446,51,19517,0.5,729,1043,0,1,5,19371,17328,51,,,,3,13,6833,100995,1277,107,13114
-1,4,3,2.25,0,2,0,2,1,152,,4716,39,73,0.8,262,478,1,3,4,9588,367,39.3333,,,,8,431,25161,2063,18,1036,11480
-1,3,4,1.66667,4,6,2,6,2,1914,,24716,3852,161,1.25,1247,608,0,0,3,37207,12224,65,,,5114,48867,2319,23696,10936,200,621,11
-1,0,7,,2,,2,,2,135,,,12586,,8,377,0,2,,0,,,,159,677,20697.7,40,1484,6921,12708,5010,8893,1381
-1,0,7,,0,,1,,1,18,,,107,,8,689,0,1,,0,,,18.75,224.667,,,39,32,1689,2827,1111,2749,2015
-1,0,7,,0,,0,,1,65,,,679,,8,496,0,1,,0,,,31.5,346.5,920,2156,4,40,184,23,30,14,10
-1,0,7,,1,,1,,1,41,,,853,,8,1423,0,1,,0,,,9.5,150.5,883,3885,35366,23,3019,42,102,2533,1526
-1,7,0,2.71429,,1,,1,,,,20925,,28,0.125,0,1244,,2,7,33930,32005,,,,,223572,46234,4449,245950,22835,208,3961
-1,3,4,6.33333,0,8,0,7,2,265,,13164,12193,17914,1.25,584,1180,0,2,3,72433,33509,,,588.5,23797.5,15,830,9110,4142,221949,40433,6744
-1,0,7,,2,,3,,1,778,,,267,,8,1127,0,2,,0,,,18.25,98,849.5,,279123,76173,469887,29833,85223,9748,67776
-1,7,0,2,,0,,0,,,,40523,,4,0.125,0,585,,1,7,54686,49848,,,,,10,3127,171,40,240,214,16775
-1,7,0,2.85714,,1,,1,,,,24604,,39,0.125,0,254,,1,7,71500,11726,,,,,0,17020,82377,323939,9997,35773,105399
-1,1,6,2,0,0,0,0,1,176,,369,333,493,3.5,403,848,1,0,1,675,675,31.75,,934,,284390,496534,915,22124,98172,78947,10190
-1,4,3,2.75,0,1,0,1,1,3140,,51708,17,8,0.8,868,1301,0,0,4,67791,60271,16.6667,,,,2,178,148849,56,22986,38780,13044
-1,1,6,0,1,1,1,0,1,26432,,,103,,3.5,943,4705,0,0,0,,,14.8,,542,,31,163170,2115,5,5,4,3
-1,7,0,1.28571,,1,,1,,,,11557,,5364,0.125,0,1435,,1,7,13506,12771,,,,,58912,12079,61496,3410,152532,1019,150
-1,7,0,1.14286,,0,,0,,,,14066,,364,0.125,0,381,,1,5,29246,45417,,,,,13,771,29533,26746,1410,3001,2790
-1,5,2,1.6,1,0,0,2,1,79212,,1022,514,41,0.5,305,333,0,1,4,1375,,,72,956,,14,4297,13758,15856,51784,5750,722
-1,5,2,3.2,0,4,0,4,1,295587,,25318,434,21670,0.5,733,719,0,0,5,76780,10792,,128,740,,4,34096,4,413932,253747,2430,971
-1,7,0,1.42857,,1,,1,,,,5416,,71,0.125,0,271,,1,7,6848,6495,,,,,7,14344,42572,10828,243,8691,1777
-1,4,3,2.5,0,1,0,1,1,131992,,11893,27461,8718,0.8,326,1156,0,2,4,24046,1617,27,,,82330,2,419049,2572,7433,14380,1531,8488
-1,7,0,2.71429,,1,,1,,,,14780,,310,0.125,0,905,,1,7,28097,14858,,,,,3,30046,112418,141901,10210,10838,3025
-1,5,2,1.6,0,2,0,1,1,4833,,2901,238,679,0.5,913,1596,0,0,5,6721,238,,238,,,75014,1227,82455,8351,28682,1314,112
-1,0,7,,1,,1,,1,244,,,2185,,8,222,0,0,,0,,,,242,1080.67,9384,0,10028,51988,100742,27,1081,5823
-1,6,1,1,0,1,0,1,1,1314,,2028,68,1729,0.285714,922,1435,0,0,4,3405,5432,,68,,,26,129332,33365,1314,9,5448,21897
-1,3,4,3,1,11,0,14,1,62247,,50151,1392,8,1.25,562,483,2,0,3,137305,235,,235,926,2202.5,0,302110,247682,6,2,3020,522709
-1,6,1,3.83333,1,2,0,2,1,11,,37689,1830,22,0.285714,112,2934,0,1,6,103624,64578,,,,1830,138,10119,75295,11,3795,138789,1036
-1,4,3,0.25,1,0,1,0,2,456486,,13045,694,475,0.8,486,1121,1,0,1,13045,13045,57,101,,1925,21219,40533,140,29884,78017,12778,7107
-1,0,7,,3,,2,,2,67494,,,950,,8,807,0,2,,0,,,1,75,1141.67,2199,131739,11,57409,228629,1079,78,19
-1,0,7,,1,,2,,1,14,,,267,,8,612,0,3,,0,,,1,164.25,607,,1397,26,144,23,220,1326,7146
-1,0,7,,6,,7,,3,24603,,,11002,,8,760,0,1,,0,,,,309,804,16224,6196,2452,12,1599,1565,35,6544
-1,7,0,3.42857,,5,,4,,,,9861,,34,0.125,0,643,,1,7,22685,20493,,,,,4527,9740,14288,1862,3041,1053,11611
-1,4,3,3.5,7,12,5,6,2,727,,12471,5591,42,0.8,2877,1174,1,1,4,18154,11945,,,880,7946,66420,15,34415,104075,42915,43363,45064
-1,0,7,,1,,0,,2,40100,,,373,,8,648,0,1,,0,,,2,240,709.333,,11,17,1263,532,1644,15,23
-1,0,7,,8,,7,,2,10799,,,4760,,8,2379,0,1,,0,,,,,620,7865.25,6,23,317979,367405,63,1075,204878
-1,6,1,2.83333,0,2,0,1,1,4275,,56796,4171,774,0.285714,575,1333,0,0,6,124962,9746,,,,4171,0,105393,80,4126,148,5339,458
-1,0,7,,18,,31,,3,3588,,,7592,,8,1060,0,1,,0,,,,426,1116,10320.4,43,868,5889,1397,24,152,15
-1,3,4,2,2,1,1,0,2,3339,,2384,186,4419,1.25,861,766,0,0,3,4407,1821,,80.3333,503,,1534,6175,16,7037,2966,61,31719
-1,3,4,2,0,2,0,2,1,981,,18712,3114,478,1.25,1066,2681,1,0,3,40434,18597,,,716,10307,41,143,2330,2860,6051,1352,3036
-1,7,0,2.14286,,0,,0,,,,10812,,23,0.125,0,1066,,1,7,13865,868,,,,,0,1565,13994,8794,152,2569,8891
-1,4,3,5,0,2,0,3,1,358616,,52206,441,7,0.8,408,1339,0,2,4,167749,44293,1,,660.5,,55,514,1726,2538,5467,8580,1723
-1,0,7,,4,,4,,2,2783,,,205,,8,1104,0,1,,0,,,9.5,239.5,455,,67139,107,8817,34498,220068,9836,56407
-1,3,4,3.33333,1,1,0,0,2,4071,,11922,166,1963,1.25,403,466,0,1,3,41184,124,,166.25,,,0,806,6475,5883,5827,32982,9874
-1,7,0,2.71429,,2,,2,,,,10046,,161,0.125,0,1150,,1,7,16511,19688,,,,,0,647,205,186,114,209,1017
-1,4,3,2.25,1,1,1,0,1,177415,,6005,3054,47,0.8,674,864,0,0,4,9339,7040,,72,,4545.5,0,18,30314,30198,5799,174,28455
-1,0,7,,1,,1,,1,175669,,,3271,,8,561,0,0,,0,,,11,341,554,7327.33,48,60,18,102,558,39186,2831
-1,1,6,5,0,1,1,0,1,303,,4723,372,16,3.5,740,292,2,5,1,9306,7732,10,,733,,5951,1178,1454,238,7785,2284,3991
-1,6,1,2.5,3,1,0,1,2,6702,,8407,3380,110685,0.285714,758,2127,1,1,6,18042,32454,,,,3380,142436,4926,34197,139936,528408,53456,24010
-1,0,7,,1,,1,,2,228,,,410,,8,406,0,1,,0,,,23,136.5,850.333,,44,273,1087,191,133,27022,17512
-1,7,0,3.28571,,1,,1,,,,21529,,5,0.125,0,311,,3,7,40844,21377,,,,,31,945,1947,1404,4349,2694,9553
-1,4,3,1.75,1,3,1,3,1,24215,,3659,9170,589,0.8,1513,4622,1,1,4,5452,1295,,320,,26870,36,21364,8857,1030,3265,11441,77655
-1,0,7,,2,,2,,1,10940,,,609,,8,591,0,2,,0,,,25.5,281.5,940.5,1766,70241,61051,1563,56,20,6,10
-1,3,4,1.66667,3,1,6,1,1,285353,,55692,1654,143,1.25,690,3312,2,0,3,102671,5226,,187,,3120.5,69,2780,196611,236895,121,136579,42191
-1,7,0,2.57143,,0,,0,,,,27454,,13,0.125,0,955,,2,7,63634,40008,,,,,0,1132,1404,276,24140,14828,3827
-1,1,6,3,0,0,0,0,1,268,,48,22,742,3.5,547,1795,0,0,1,75,75,10.8,75,,,72087,6,736,800,1531,12,6
-1,2,5,1,0,2,0,0,1,12,,12489,367,4,2,802,427,2,1,1,20263,20263,25,423,681.5,,1260,14,96,5,4158,40093,1421
-1,7,0,2.28571,,0,,0,,,,7676,,8,0.125,0,571,,1,7,15353,12802,,,,,0,5351,3224,1041,405,1631,985
-1,5,2,1.6,1,1,1,1,2,390,,7586,279,7,0.5,492,2876,0,1,4,9443,10682,,106,452,,1032,33,1258,1482,47689,89872,997
-1,6,1,2.16667,0,1,0,1,1,165,,22427,407,734,0.285714,539,1718,0,2,6,43439,16942,,407,,,900,10353,201337,27779,91892,165,2563
-1,1,6,3,2,1,2,0,2,10,,18379,1294,2,3.5,429,997,1,0,1,28916,28916,10,,755.667,2743.5,0,4450,4116,168,1247,63,89
-1,7,0,3,,1,,1,,,,31149,,850,0.125,0,542,,2,7,82717,63475,,,,,31780,1534,1341,7383,1759,31264,28722
-1,0,7,,3,,2,,3,792653,,,5752,,8,1440,0,0,,0,,,24,,1002.5,12738,62653,14445,29,9,3422,11,831
-1,3,4,1,1,2,0,0,1,809,,741,1488,3041,1.25,505,3330,1,0,3,741,741,,393,583.5,4390,5881,37804,2756,17538,17,1484,18141
-1,5,2,1.2,1,1,0,1,1,4049,,22447,79,1623,0.5,730,661,0,1,5,22563,22330,,79,,,81994,20679,62892,5577,2029,2520,28731
-1,7,0,1.28571,,0,,0,,,,31841,,111,0.125,0,981,,2,6,40034,22438,,,,,0,1567,3090,48412,50626,67768,1596
-1,5,2,2.2,1,1,0,1,1,29,,3426,128,43,0.5,389,1029,3,0,5,6863,4910,,128,,,25887,44,25045,11337,14,369866,20540
-1,4,3,1.5,0,1,0,3,1,284991,,7423,1921,10,0.8,139,392,0,3,3,11630,11630,,,516,2623.5,24240,408,44481,24385,10374,1454,7025
-1,0,7,,1,,0,,1,29369,,,2320,,8,349,0,1,,0,,,7,181,930,5037.67,9,3,21,11,16,5,51
-1,7,0,1.14286,,0,,0,,,,9094,,32,0.125,0,913,,2,6,9526,9728,,,,,40524,37,2881,5782,1202,1360,1464
-1,1,6,2,1,1,0,0,2,16,,2052,286,1233,3.5,460,2993,1,0,1,3392,711,20.6667,69,793,,25,16,203,266,39,470,4
-1,7,0,2.28571,,1,,2,,,,15760,,9,0.125,0,905,,1,6,43629,45491,,,,,15,4053,18911,68791,57822,14048,7779
-1,7,0,1.14286,,0,,0,,,,5698,,11,0.125,0,809,,1,5,10847,576,,,,,38,7626,8575,2601,72371,50159,96515
-1,1,6,2,2,4,2,0,1,10487,,4431,182,251942,3.5,1319,2758,4,0,1,8861,8861,29.5,106.667,710,,27,137,1298,28,5,43,27
-1,6,1,2.16667,0,4,0,6,1,7324,,7152,209,107931,0.285714,222,512,0,1,5,11424,,,209,,,0,7324,337766,115919,71950,69860,105866
-1,0,7,,1,,1,,1,46268,,,4277,,8,932,0,0,,0,,,56,,,4980,8,52,17470,9905,8,4316,85
-1,7,0,2.42857,,1,,2,,,,70622,,10,0.125,0,710,,4,6,96807,66290,,,,,17,7403,6158,2018,4708,3106,15334
-1,5,2,1.2,2,1,2,1,1,734,,41334,432,29614,0.5,335,1282,1,1,5,42636,173424,,83,781,,9,638614,34835,242762,1444,8328,60824
-1,0,7,,5,,4,,3,47818,,,6628,,8,529,0,1,,0,,,,193,1151.5,12424.3,16496,1712,540,182127,139700,54697,57
