#churn_class_label,num_questions,num_answers,num_answers_recvd,a_score,q_score,a_score_stddev,q_score_stddev,relative_rank_pos,answering_speed,mean_rep_co_answerers,mean_rep_answerers,mean_rep_questioner,time_for_first_ans,a_q_ratio,a_post_length,q_post_length,a_comments,q_comments,num_q_answered,mean_max_rep_answerer,mean_accepted_answerer_rep,qrep1,qrep2,qrep3,qrep4,gap1,gap2,gap3,gap4,gap5,gap6,gap7,gap8
-1,7,1,2.14286,2,3,0,1,2,310,,10755,984,76,0.25,345,909,0,1,6,15625,14899,,,984,,12,310,4239,6894,210509,19963,12965,29068
-1,8,0,1.25,,1,,1,,,,18700,,32,0.111111,0,603,,0,8,22241,49413,,,,,0,5274,2148,14407,93373,17371,20867,11365
-1,8,0,1.875,,0,,0,,,,17520,,7219,0.111111,0,376,,1,7,38424,10640,,,,,187532,44116,24912,8149,20,394,1841,36153
-1,1,7,4,1,-1,0,0,1,78188,,754,887,228,4,780,75,3,3,1,2098,,21,377,891,2250,33,9,134,1022165,30,10,4,8
-1,8,0,3.5,,2,,4,,,,40963,,25,0.111111,0,182,,2,8,74936,39345,,,,,0,14126,51754,75,92504,155,1090,411426
-1,8,0,2.25,,2,,1,,,,29081,,500,0.111111,0,1138,,1,8,43486,51463,,,,,0,17195,1679,7201,5394,54773,4312,1621
-1,1,7,3,0,2,1,0,1,113,,1481,174,152,4,403,3731,1,5,1,4340,82,22.8,82,1021,,0,725,3228,80,47,928,311,126
-1,5,3,1.6,0,0,0,0,1,5230,,3727,140,3130,0.666667,391,1062,0,1,5,5154,2523,,140,,,13186,8757,1269,5739,14341,5,6087,75
-1,3,5,2.66667,1,2,1,1,1,2055,,5767,870,17,1.5,1007,1751,2,2,3,12815,6254,1,159,1083,2947,28,35595,314193,1252,12,5984,84798,87727
-1,4,4,1.75,0,0,0,0,1,40575,,851,1,862,1,254,4690,0,1,4,2442,,1,,,,1,139730,1290,48,12,1651,192,18169
-1,3,5,1,1,0,1,0,1,625188,,9739,4294,41,1.5,435,2347,0,1,2,10591,,46,,954,9759,1,38,281087,33287,130748,65279,13157,48367
-1,8,0,0.875,,0,,1,,,,1384,,68,0.111111,0,828,,2,6,1519,1964,,,,,16,63311,1508,985,8937,194,1341,5449
-1,8,0,1.875,,1,,0,,,,7800,,63398,0.111111,0,2395,,1,8,11743,3414,,,,,0,4893,8541,25689,17108,22000,16541,182
-1,0,8,,2,,2,,1,4284,,,2242,,9,1302,0,4,,0,,,38,408,775,3619,13631,46,1209,1078,659,42,638,4
-1,3,5,1.33333,1,1,2,1,1,5979,,9099,471,11715,1.5,741,2482,2,1,3,13847,13847,,261,786.5,,56,21113,3570,5125,13,169170,6,15118
-1,4,4,2,0,0,0,0,1,642,,51860,380,6,1,388,1334,1,0,4,58066,56168,1,426,546,,0,3974,35960,26282,5114,33,141,4701
