#churn_class_label,num_questions,num_answers,num_answers_recvd,a_score,q_score,a_score_stddev,q_score_stddev,relative_rank_pos,answering_speed,mean_rep_co_answerers,mean_rep_answerers,mean_rep_questioner,time_for_first_ans,a_q_ratio,a_post_length,q_post_length,a_comments,q_comments,num_q_answered,mean_max_rep_answerer,mean_accepted_answerer_rep,qrep1,qrep2,qrep3,qrep4,gap1,gap2,gap3,gap4,gap5,gap6,gap7,gap8,gap9
-1,6,3,5.5,0,4,2,4,1,25728,,13941,14115,11,0.571429,774,1087,1,1,6,40670,13551,,,1191,20577,0,10162,12854,14366,126,17325,15778,25914,2
-1,8,1,2.75,2,2,0,2,3,63,,19974,156,210,0.222222,136,1183,1,1,7,55072,27229,,156,,,422650,156019,63,2422,2819,2707,5052,8059,7233
-1,2,7,3,1,3,1,0,1,2622,,17726,3462,4,2.66667,554,582,0,2,2,18617,17698,,177,976,7575,356822,15,15,16,12,12,862,66,7081
-1,8,1,2.125,0,0,0,1,1,10217,,19627,376,80,0.222222,588,1603,0,1,8,24923,18269,,376,,,25,12965,4665,10217,1235,27399,36239,986,486
-1,8,1,1.25,0,0,0,1,1,161,,16411,13,8,0.222222,366,1169,1,2,6,20022,19145,13,,,,2,25426,249,4162,6987,33022,276,8678,4014
-1,5,4,1.6,1,0,0,0,1,239686,,6192,303,29,0.833333,574,3211,0,1,5,7393,6245,12.5,117,1071,,0,292470,37782,15784,11015,3560,1323,5,28787
-1,2,7,1.5,4,2,5,0,2,74,,1000,2882,1512,2.66667,549,1874,1,0,2,1000,980,46,189.5,919,6277.67,577443,7342,14651,185,783,97,44,10,745
-1,9,0,1.33333,,1,,1,,,,14612,,296,0.1,0,545,,2,6,25000,14018,,,,,243896,2920,2566,9968,247,2922,7073,298,73093
-1,9,0,1.55556,,0,,1,,,,32105,,50,0.1,0,675,,3,8,39275,66071,,,,,109,2820,2942,105,1631,4219,1361,4027,2985
-1,1,8,5,2,17,1,0,2,18,,2073,695,5964,4.5,580,5029,2,1,1,6063,6063,13.5,297.5,1095,1653,19804,95,181,2608,96,38,81,124,7
-1,8,1,1.375,0,0,0,0,1,1063,,28638,13,152,0.222222,236,2975,0,1,8,29553,3759,13,,,,16,419408,720,313,121,10207,1063,11630,19103
-1,3,6,1.66667,1,1,1,1,1,290881,,7400,67,14,1.75,418,899,2,1,3,10625,10625,26,230,,,13,70597,27483,12374,178,20449,2834,1081,8
-1,8,1,1.5,0,2,0,2,1,2655,,11327,109,32571,0.222222,405,392,0,1,8,17459,31776,,109,,,0,2655,8644,24002,42318,305254,24187,6156,21591
-1,7,2,1.71429,2,1,2,1,3,1302,,46210,3102,57,0.375,1021,487,4,2,6,51949,49664,11,,,6193,7697,75347,36809,118262,163,1002,33,53,267
-1,7,2,1.28571,1,0,0,0,1,38851,,3412,46,8516,0.375,364,1346,1,1,7,5153,5129,19,72,,,141931,16645,4267,2962,4188,825,10454,104,60
-1,0,9,,1,,1,,2,5359,,,2020,,10,629,0,1,,0,,,25.5,95.5,1004,5310.33,180,34,174,171,127,668,19,1106,28
