num_answers,avg(accepted_answers/num_answers)
1,0.14025295
2,0.20749667
3,0.23198678
4,0.24037780
5,0.24491635
6,0.25105647
7,0.25509377
8,0.26086225
9,0.25818420
10,0.26183378
11,0.26140886
12,0.26277589
13,0.26600868
14,0.26736591
15,0.26928869
16,0.27046593
17,0.27310600
18,0.27693692
19,0.28141390
20,0.27498648
21,0.28197445
22,0.27542998
23,0.27058456
24,0.27634444
25,0.28703226
26,0.27950970
27,0.28636597
28,0.28192992
29,0.27743457
30,0.28447873
31,0.28035769
32,0.28481382
33,0.28757749
34,0.28738163
35,0.29003467
36,0.28543918
37,0.28141189
38,0.28856387
39,0.28236933
40,0.29468268
41,0.29134796
42,0.29462737
43,0.29517086
44,0.28729527
45,0.29027852
46,0.29038333
47,0.28232326
48,0.30048936
49,0.28742279
50,0.28464692
51,0.29952414
52,0.30453154
53,0.29480291
54,0.29986092
55,0.30076260
56,0.28884958
57,0.29104516
58,0.30032889
59,0.29037184
60,0.29999844
61,0.29537628
62,0.29610952
63,0.28739170
64,0.30309044
65,0.30178742
66,0.29796053
67,0.30957722
68,0.29246208
69,0.31243792
70,0.30333083
71,0.31443827
72,0.29063930
73,0.30714362
74,0.30054409
75,0.30215404
76,0.31543468
77,0.30719673
78,0.29286257
79,0.28670887
80,0.31027027
81,0.29775080
82,0.30215363
83,0.31281846
84,0.30871638
85,0.27932209
86,0.30050174
87,0.29788315
88,0.30704351
89,0.30683013
90,0.29181250
91,0.29177179
92,0.29963270
93,0.30508075
94,0.30282670
95,0.31815976
96,0.30936309
97,0.30554914
98,0.31595368
99,0.30783929
100,0.30457364
101,0.32002095
102,0.28686098
103,0.30184104
104,0.32219344
105,0.32281418
106,0.29435966
107,0.31467200
108,0.31881356
109,0.30010481
110,0.31764492
111,0.29502710
112,0.31701134
113,0.31369915
114,0.30267273
115,0.32025851
116,0.30655604
117,0.30639798
118,0.32203263
119,0.29428400
120,0.30955490
121,0.30723956
122,0.32414545
123,0.29408280
124,0.29863030
125,0.32085106
126,0.32423371
127,0.30056667
128,0.30306484
129,0.31709149
130,0.29566897
131,0.29294156
132,0.29707429
133,0.29861975
134,0.30322368
135,0.27842745
136,0.32950500
137,0.30254127
138,0.31466346
139,0.31763797
140,0.31159275
141,0.32595658
142,0.34230000
