numposts,avg(accepted_answers/num_answers)
1,0.09167370
2,0.16548652
3,0.20090126
4,0.21401472
5,0.22579353
6,0.23688444
7,0.24768660
8,0.25335284
9,0.25769522
10,0.26638125
11,0.26907968
12,0.27576733
13,0.28162432
14,0.28508820
15,0.28736776
16,0.28916970
17,0.29818036
18,0.28531765
19,0.29976622
20,0.30137457
21,0.29475536
22,0.29905532
23,0.29585735
24,0.30675182
25,0.30245400
26,0.29815092
27,0.31207496
28,0.30430646
29,0.31130671
30,0.31441487
31,0.30742858
32,0.30580379
33,0.31580593
34,0.31011749
35,0.31347548
36,0.31429506
37,0.31533046
38,0.31427935
39,0.30887926
40,0.32021269
41,0.30343195
42,0.32563361
43,0.31120294
44,0.30808010
45,0.32024568
46,0.31629826
47,0.31959956
48,0.32425009
49,0.31196717
50,0.31917474
51,0.31509755
52,0.31759694
53,0.32326326
54,0.31062388
55,0.31564364
56,0.31466205
57,0.31167870
58,0.32313125
59,0.32706671
60,0.32276252
61,0.33081390
62,0.31354235
63,0.31156225
64,0.32834277
65,0.31908970
66,0.33606013
67,0.31090442
68,0.32833306
69,0.31818643
70,0.31387605
71,0.32571248
72,0.32721792
73,0.32982372
74,0.33272378
75,0.33044242
76,0.32188149
77,0.32752158
78,0.31977733
79,0.30463169
80,0.33837208
81,0.31601702
82,0.32933486
83,0.33020472
84,0.32753248
85,0.31197707
86,0.32088803
87,0.30759280
88,0.31755214
89,0.32649792
90,0.32639795
91,0.32083036
92,0.31513199
93,0.30587106
94,0.32564731
95,0.32189298
96,0.32625552
97,0.31230869
98,0.31880850
99,0.32512248
100,0.32361457
101,0.32507903
102,0.32703179
103,0.32355396
104,0.33035122
105,0.32849618
106,0.35146272
107,0.33572384
108,0.32721134
109,0.30662924
110,0.35291410
111,0.32337940
112,0.33042346
113,0.32116332
114,0.32896092
115,0.31494359
116,0.32430084
117,0.33190233
118,0.32682888
119,0.33798138
120,0.33655884
121,0.31499149
122,0.33960628
123,0.29896041
124,0.31928319
125,0.33723634
126,0.34622563
127,0.31918982
128,0.34237987
129,0.33278315
130,0.30587058
131,0.30930317
132,0.33428474
133,0.32224174
134,0.31032225
135,0.31826070
136,0.34001666
137,0.31890698
138,0.31735616
139,0.32706369
140,0.35932986
141,0.32123375
142,0.35106008
143,0.34816448
144,0.28460227
145,0.32319858
146,0.32896624
147,0.33588015
148,0.34826683
149,0.31825184
150,0.36426174
151,0.30162347
152,0.33060564
153,0.30238695
154,0.32088857
155,0.34236915
156,0.36272682
157,0.32887391
158,0.33125495
159,0.36156027
160,0.33154134
161,0.31780657
162,0.32904850
163,0.33494872
164,0.29508768
165,0.33601876
166,0.35093578
167,0.32390434
168,0.31897890
169,0.32969617
170,0.30910219
171,0.30933405
172,0.34559760
173,0.30872520
174,0.36822433
175,0.34704744
176,0.33361879
177,0.32112009
178,0.32297800
179,0.31754427
180,0.34304455
181,0.31337858
182,0.33076171
183,0.32309487
184,0.32746312
185,0.32549270
186,0.32792922
187,0.35283240
188,0.30196102
189,0.32178595
190,0.32985271
191,0.35462930
192,0.33686631
193,0.34826638
194,0.32754430
195,0.33472742
196,0.34144020
197,0.31314414
198,0.33091308
199,0.33599644
200,0.31193613
201,0.33622959
202,0.30847993
203,0.31365306
204,0.32442916
205,0.33228175
206,0.35160776
207,0.31316586
208,0.32947448
209,0.29697192
210,0.33258060
211,0.34248286
212,0.32592552
213,0.31899335
214,0.40071082
215,0.32403773
216,0.32381458
217,0.31141338
218,0.31699185
219,0.31076865
220,0.32922927
221,0.35139348
222,0.32203293
223,0.31531226
224,0.37225685
225,0.34206458
226,0.33930858
227,0.30490267
228,0.33994405
229,0.33686906
230,0.35460686
231,0.34494818
232,0.33855313
233,0.38703132
234,0.35474054
235,0.32427776
236,0.31006217
237,0.33139178
238,0.37025948
239,0.32143779
240,0.29038170
241,0.36424903
242,0.33957273
243,0.28708954
244,0.33235991
245,0.30299679
246,0.32872595
247,0.34445929
248,0.30684695
249,0.31371549
250,0.33176414
251,0.34143710
252,0.31279565
253,0.34625498
254,0.33453479
255,0.36242029
256,0.33617759
257,0.31950120
258,0.30218348
259,0.34759477
260,0.32511853
261,0.30601433
262,0.31996906
263,0.29936120
264,0.35381699
265,0.35471577
266,0.31270541
267,0.32857473
268,0.34710986
269,0.28092685
270,0.36179936
271,0.32679509
272,0.33715265
273,0.32745490
274,0.33883120
275,0.30158506
276,0.35955421
277,0.34989315
278,0.37645280
279,0.32110358
280,0.32135029
281,0.34827177
282,0.33095422
283,0.37467346
284,0.32318783
285,0.31847349
286,0.30984561
287,0.38461662
288,0.32430964
289,0.34669718
290,0.30639708
291,0.36473304
292,0.38965669
293,0.30086014
294,0.28823912
295,0.28835933
296,0.34698855
297,0.23710831
298,0.30272608
299,0.32954509
300,0.38830955
301,0.30202657
302,0.35496162
303,0.32549492
304,0.31061597
305,0.34452596
306,0.35313320
307,0.31785878
308,0.33880975
309,0.31590540
310,0.32399938
311,0.31898266
312,0.32220001
313,0.37948795
314,0.32075798
315,0.34736507
316,0.33703423
317,0.32119077
318,0.33896272
319,0.35463665
320,0.32511915
321,0.31496481
322,0.36283990
323,0.33452406
324,0.28670447
325,0.35510497
326,0.33249764
327,0.32340354
328,0.27797422
329,0.29850674
330,0.34623611
331,0.34685044
332,0.35501909
333,0.31082297
334,0.37300723
335,0.37797400
336,0.38301045
337,0.32635817
338,0.30998303
339,0.28789611
340,0.36696285
341,0.35886871
342,0.34765485
343,0.30044319
344,0.36372657
345,0.44409049
346,0.36678536
347,0.34661295
348,0.38160884
349,0.35518747
350,0.34073759
351,0.31754774
352,0.35357936
353,0.31504924
354,0.33662978
355,0.33081748
356,0.33564216
357,0.33951706
358,0.27328149
359,0.34817338
360,0.36540376
361,0.40479589
362,0.35847888
363,0.32107120
364,0.31605355
365,0.37673238
366,0.29396966
367,0.36918863
368,0.41724803
369,0.34526521
370,0.36842810
371,0.33531684
372,0.30423072
373,0.37320507
374,0.46587162
375,0.33122936
376,0.35887134
377,0.35278095
378,0.37900101
379,0.27602532
380,0.36775080
381,0.31174221
382,0.38834407
383,0.37999424
384,0.37336042
385,0.32154852
386,0.30695241
387,0.38105182
388,0.28225197
389,0.35802527
390,0.34799379
391,0.36086488
392,0.37503203
393,0.33523017
394,0.37811934
395,0.25211609
396,0.34703765
397,0.30183126
398,0.48115387
399,0.34412013
400,0.27990239
401,0.32409382
402,0.30668832
403,0.38972544
404,0.33501600
405,0.29708759
406,0.35627476
407,0.34561285
408,0.36122314
409,0.34085338
410,0.35630367
411,0.31257025
412,0.35757116
413,0.35066574
414,0.33233371
415,0.25785907
416,0.39355668
417,0.29221306
418,0.28233622
419,0.41252762
420,0.32652065
421,0.35705368
422,0.31792489
423,0.39479867
424,0.33525481
425,0.38482911
426,0.37039939
427,0.35209763
428,0.31313080
429,0.27994567
430,0.40116578
431,0.33801188
432,0.41629918
433,0.30471208
434,0.33961230
435,0.34747056
436,0.28417742
437,0.36252922
438,0.24689028
439,0.35945942
440,0.28957690
441,0.24827730
442,0.31272139
443,0.29500332
444,0.36632858
445,0.30610490
446,0.30922408
447,0.34972476
448,0.31371839
449,0.36382999
450,0.32150861
451,0.35970698
452,0.42473542
453,0.27014468
454,0.25619619
455,0.36030075
456,0.39164278
457,0.27922883
458,0.42248331
459,0.34641919
460,0.35209349
461,0.31040544
462,0.24955501
463,0.35639948
464,0.27991183
465,0.33131657
466,0.28192462
467,0.37935096
468,0.29713500
469,0.28495123
470,0.29932957
471,0.31308851
472,0.38063964
473,0.32362751
474,0.35650141
475,0.34582912
476,0.31267306
477,0.29025300
478,0.39929162
479,0.30572715
480,0.29765403
481,0.44565809
482,0.45294524
483,0.26168601
484,0.38247830
485,0.35857841
486,0.37176339
487,0.31244071
488,0.32698699
489,0.35517059
490,0.35713130
491,0.34657184
492,0.30626329
493,0.47193347
494,0.35002920
495,0.26630316
496,0.38726781
497,0.31669925
498,0.28557269
499,0.35336857
500,0.29713951
501,0.30679011
502,0.30539307
503,0.31789662
504,0.33894481
505,0.27619623
506,0.30661661
507,0.33497537
508,0.37121619
509,0.33807409
510,0.33678989
511,0.34280279
512,0.28852605
513,0.25812177
514,0.31018420
515,0.34634902
516,0.29228135
517,0.30930415
518,0.32891572
519,0.31859382
520,0.33797021
521,0.33663207
522,0.46163799
523,0.31422788
524,0.32236150
525,0.32037387
526,0.32128490
527,0.49227670
528,0.39790859
529,0.20087820
530,0.29518300
531,0.28627309
532,0.27804453
533,0.39035292
534,0.43095692
535,0.46638900
536,0.37995724
537,0.35114430
538,0.35362609
539,0.41406250
540,0.38012256
541,0.25089471
542,0.43191931
543,0.30421284
544,0.37904796
545,0.40074618
546,0.24337372
547,0.35011915
548,0.40143821
549,0.38998122
550,0.37277580
551,0.34103136
552,0.33707575
553,0.31193109
554,0.48537692
555,0.37241109
556,0.34159081
557,0.19853802
558,0.28856304
559,0.37359160
560,0.30774041
561,0.47338066
562,0.34134564
563,0.24151911
564,0.33265475
565,0.40540541
566,0.21371802
567,0.28675130
568,0.30855367
569,0.34126138
570,0.34029504
571,0.37538886
572,0.31123059
573,0.25957430
574,0.32977477
575,0.35877323
