# (for 5 questions asked) Num_Answers_Provided,Mean_Answers_received_per_question, Dead, All
0,0,1,13
0,0.2,4,93
0,0.4,14,401
0,0.6,51,1020
0,0.8,132,2139
0,1,267,3903
0,1.2,360,5295
0,1.4,497,6037
0,1.6,487,5921
0,1.8,451,5495
0,2,376,4755
0,2.2,330,4123
0,2.4,286,3190
0,2.6,225,2634
0,2.8,156,2009
0,3,147,1538
0,3.2,90,1150
0,3.4,83,930
0,3.6,61,699
0,3.8,48,519
0,4,39,409
0,4.2,31,338
0,4.4,32,242
0,4.6,10,180
0,4.8,15,148
0,5,13,92
0,5.2,10,85
0,5.4,5,76
0,5.6,4,55
0,5.8,9,53
0,6,5,41
0,6.2,3,36
0,6.4,2,24
0,6.6,2,23
0,6.8,1,17
0,7,3,16
0,7.2,1,18
0,7.4,2,11
0,7.6,2,11
0,7.8,0,10
0,8,0,5
0,8.2,0,2
0,8.4,0,3
0,8.6,0,7
0,8.8,0,2
0,9,0,3
0,9.2,2,3
0,9.4,0,1
0,9.6,0,3
0,9.8,0,4
0,10,0,2
0,10.2,1,2
0,10.4,0,2
0,10.6,0,2
0,11,0,1
0,11.4,0,1
0,11.8,0,2
0,12.4,0,1
0,12.8,0,2
0,13,0,1
0,14.2,1,1
0,15.2,0,1
0,17.8,0,1
0,20.4,0,1
1,0,0,1
1,0.2,1,16
1,0.4,3,97
1,0.6,14,354
1,0.8,41,808
1,1,90,1541
1,1.2,156,2440
1,1.4,178,2751
1,1.6,172,2843
1,1.8,189,2605
1,2,163,2358
1,2.2,157,1953
1,2.4,120,1524
1,2.6,100,1218
1,2.8,86,993
1,3,68,703
1,3.2,46,558
1,3.4,37,458
1,3.6,21,342
1,3.8,20,255
1,4,22,234
1,4.2,14,167
1,4.4,9,116
1,4.6,8,100
1,4.8,5,91
1,5,2,60
1,5.2,2,48
1,5.4,3,44
1,5.6,3,38
1,5.8,2,24
1,6,0,27
1,6.2,2,23
1,6.4,1,19
1,6.6,3,19
1,6.8,1,15
1,7,0,13
1,7.2,0,6
1,7.4,1,12
1,7.6,1,10
1,7.8,0,4
1,8,1,5
1,8.2,1,4
1,8.4,1,4
1,8.6,1,3
1,8.8,0,2
1,9,1,4
1,9.2,0,3
1,9.4,0,2
