churner,k,avg(a_post_length)
0,1,195.4095
0,2,326.1739
0,3,391.0361
0,4,430.3325
0,5,456.3597
0,6,474.5976
0,7,488.4801
0,8,499.4938
0,9,509.5328
0,10,516.1995
0,11,523.5177
0,12,529.1402
0,13,532.2112
0,14,536.6876
0,15,539.3737
0,16,541.7294
0,17,544.1507
0,18,546.8429
0,19,548.6124
0,20,550.0158
1,1,200.5612
1,2,326.1945
1,3,383.6792
1,4,421.4699
1,5,442.4555
1,6,466.0974
1,7,479.8754
1,8,492.1777
1,9,498.9056
1,10,506.1755
1,11,505.5213
1,12,515.4003
1,13,547.7405
1,14,540.5760
1,15,540.7993
1,16,532.8609
1,17,541.5265
1,18,540.6217
1,19,547.0006
1,20,539.3966
