churner,k,avg(a_post_length)
0,1,158.8213
0,2,277.4601
0,3,341.4041
0,4,382.8079
0,5,411.6288
0,6,433.9009
0,7,450.8023
0,8,464.7596
0,9,476.1072
0,10,484.7829
0,11,493.3015
0,12,499.5912
0,13,504.8253
0,14,509.9458
0,15,514.1653
0,16,517.8304
0,17,521.6940
0,18,525.0461
0,19,527.5791
0,20,529.8647
1,1,165.2636
1,2,265.8848
1,3,328.2124
1,4,367.0525
1,5,396.5764
1,6,423.9950
1,7,438.1699
1,8,453.1977
1,9,463.6988
1,10,478.0572
1,11,478.9646
1,12,495.1205
1,13,506.8480
1,14,511.5362
1,15,509.4129
1,16,514.3363
1,17,510.7958
1,18,518.8535
1,19,532.8922
1,20,534.0781
