#churner,k,avg(mean_rep_answerers)
0,1,18322.1203
0,2,18312.5842
0,3,18490.4559
0,4,18640.5388
0,5,18816.6743
0,6,18954.9183
0,7,19076.1462
0,8,19151.9566
0,9,19302.6716
0,10,19383.7990
0,11,19500.1018
0,12,19598.1105
0,13,19709.3802
0,14,19807.1913
0,15,19893.4763
0,16,19984.4951
0,17,20062.4476
0,18,20138.1379
0,19,20232.9833
0,20,20247.4556
1,1,20408.7353
1,2,18499.2642
1,3,19540.1917
1,4,20049.5206
1,5,19879.9431
1,6,20601.1481
1,7,20526.2945
1,8,20785.7933
1,9,20785.1719
1,10,21041.3622
1,11,20612.0508
1,12,21669.1714
1,13,20342.1691
1,14,20432.6893
1,15,21567.8054
1,16,20901.2533
1,17,21466.7334
1,18,21907.3018
1,19,21142.2112
1,20,22286.6333
