#churner,k,avg(mean_rep_questioner)
0,1,3155.2338
0,2,2748.8143
0,3,2614.7525
0,4,2552.2545
0,5,2533.4035
0,6,2522.3399
0,7,2504.3167
0,8,2509.5665
0,9,2516.6200
0,10,2519.6265
0,11,2525.4327
0,12,2535.7284
0,13,2545.8194
0,14,2559.5010
0,15,2570.2901
0,16,2572.0316
0,17,2582.0535
0,18,2583.9111
0,19,2594.3677
0,20,2615.4475
1,1,3053.8913
1,2,2325.9579
1,3,2454.3255
1,4,2454.4341
1,5,2524.2219
1,6,2612.4581
1,7,2740.0009
1,8,2730.6416
1,9,2753.7549
1,10,2636.3604
1,11,2875.5827
1,12,2858.2901
1,13,3010.5181
1,14,2991.0245
1,15,3016.3661
1,16,3045.4221
1,17,2916.1405
1,18,3213.3578
1,19,3111.5820
1,20,2951.7199
