#k,churner,avg(num_answers/k)
1,0,0.31215961
1,1,0.37175475
2,0,0.39533432
2,1,0.38073742
3,0,0.43673914
3,1,0.39678502
4,0,0.46485407
4,1,0.42312250
5,0,0.48550650
5,1,0.44652654
6,0,0.50267228
6,1,0.46259458
7,0,0.51716587
7,1,0.47184589
8,0,0.52974492
8,1,0.49034974
9,0,0.54021760
9,1,0.50282841
10,0,0.54922510
10,1,0.51714705
11,0,0.55770487
11,1,0.52017860
12,0,0.56538055
12,1,0.54290492
13,0,0.57237670
13,1,0.55021367
14,0,0.57872135
14,1,0.55085790
15,0,0.58517144
15,1,0.56521630
16,0,0.59036146
16,1,0.57424948
17,0,0.59575499
17,1,0.57084350
18,0,0.60026606
18,1,0.59846802
19,0,0.60505280
19,1,0.59920887
20,0,0.60933524
20,1,0.60172847
