churner,k,avg(qrep3)
0,1,911.9639859287381
0,2,905.4797699325665
0,3,904.2476607418945
0,4,902.199209360731
0,5,901.1974401852312
0,6,899.9437612817834
0,7,900.3620407946534
0,8,899.2064117696558
0,9,898.9297173485672
0,10,898.6707926868154
0,11,899.2794402692019
0,12,898.4883991621165
0,13,897.3078475792997
0,14,897.6906753490682
0,15,897.9692212292831
0,16,898.0680471142275
0,17,897.4527245114584
0,18,897.0089142317349
0,19,897.1905464154158
0,20,896.8769634744523
1,1,915.1905451037144
1,2,920.3518911617136
1,3,909.3952599086442
1,4,909.5807809977265
1,5,910.2646618692944
1,6,910.0285041993305
1,7,903.9494035422207
1,8,911.1448643143524
1,9,910.5484314789891
1,10,902.6158465339817
1,11,906.8555724391538
1,12,909.7694575085474
1,13,912.4824282238425
1,14,893.2153597146153
1,15,901.8895786547416
1,16,893.4754072244457
1,17,910.0129774523004
1,18,913.839960341208
1,19,896.877307496035
1,20,901.7268730554031
