#churner,k,avg(time_for_first_ans)
0,1,9358.2798
0,2,10210.4662
0,3,10558.1843
0,4,10838.1454
0,5,10928.9845
0,6,11085.5317
0,7,11088.1859
0,8,11123.3094
0,9,11123.2132
0,10,11172.5345
0,11,11163.0100
0,12,11183.6402
0,13,11192.4306
0,14,11102.0803
0,15,11114.8838
0,16,11109.0075
0,17,11107.4020
0,18,10947.1552
0,19,10998.0856
0,20,10915.8218
1,1,21467.1540
1,2,17156.6186
1,3,17728.9477
1,4,16400.8693
1,5,16956.0930
1,6,15835.6661
1,7,16069.5846
1,8,15492.8999
1,9,15310.4081
1,10,14352.9413
1,11,15034.6514
1,12,14827.2335
1,13,15459.9551
1,14,14678.7421
1,15,15155.2755
1,16,14910.1764
1,17,14324.6402
1,18,15575.0193
1,19,13570.5064
1,20,15356.9310
