churner,num_questions,avg(mean_accepted_answerer_rep)
0,0,NULL
0,1,23283.3091
0,2,24292.9604
0,3,24364.8083
0,4,24885.4217
0,5,24793.8518
0,6,25206.6602
0,7,25287.3433
0,8,25622.3526
0,9,25792.8873
0,10,25926.7999
0,11,25994.7202
0,12,26221.3837
0,13,26356.4509
0,14,26482.1763
0,15,26664.2192
0,16,26973.1101
0,17,27181.0413
0,18,27562.3640
0,19,27641.6704
0,20,27306.5340
1,0,NULL
1,1,29117.0852
1,2,28143.8437
1,3,28156.6785
1,4,28856.8280
1,5,28713.5299
1,6,29298.3256
1,7,29137.5654
1,8,28175.1668
1,9,29141.8806
1,10,30493.4332
1,11,29906.0837
1,12,30827.8822
1,13,30805.1525
1,14,30009.6408
1,15,29958.4510
1,16,30289.8519
1,17,30747.5753
1,18,33941.9783
1,19,31152.8462
1,20,36299.6667
