#NumPosts(k), User count
1,0.3532
2,0.6737
3,0.7578
4,0.7999
5,0.8272
6,0.8467
7,0.8618
8,0.8739
9,0.8837
10,0.8920
11,0.8992
12,0.9054
13,0.9108
14,0.9156
15,0.9199
16,0.9238
17,0.9272
18,0.9304
19,0.9333
20,0.9359
21,0.9384
22,0.9406
23,0.9427
24,0.9447
25,0.9465
26,0.9483
27,0.9499
28,0.9514
29,0.9528
30,0.9542
31,0.9554
32,0.9566
33,0.9577
34,0.9589
35,0.9599
36,0.9609
37,0.9618
38,0.9627
39,0.9636
40,0.9644
41,0.9652
42,0.9660
43,0.9667
44,0.9674
45,0.9681
46,0.9687
47,0.9694
48,0.9700
49,0.9706
50,0.9711
51,0.9717
52,0.9722
53,0.9727
54,0.9732
55,0.9736
56,0.9741
57,0.9746
58,0.9750
59,0.9754
60,0.9758
61,0.9762
62,0.9766
63,0.9770
64,0.9773
65,0.9777
66,0.9781
67,0.9784
68,0.9787
69,0.9790
70,0.9794
71,0.9797
72,0.9800
73,0.9803
74,0.9805
75,0.9808
76,0.9811
77,0.9814
78,0.9817
79,0.9819
80,0.9821
81,0.9824
82,0.9826
83,0.9828
84,0.9831
85,0.9833
86,0.9835
87,0.9837
88,0.9839
89,0.9841
90,0.9843
91,0.9846
92,0.9847
93,0.9849
94,0.9851
95,0.9853
96,0.9855
97,0.9856
98,0.9858
99,0.9860
100,0.9861
101,0.9863
102,0.9864
103,0.9866
104,0.9867
105,0.9869
106,0.9870
107,0.9872
108,0.9873
109,0.9874
110,0.9876
111,0.9877
112,0.9878
113,0.9880
114,0.9881
115,0.9882
116,0.9884
117,0.9885
118,0.9886
119,0.9887
120,0.9888
121,0.9890
122,0.9891
123,0.9892
124,0.9893
125,0.9894
126,0.9895
127,0.9896
128,0.9897
129,0.9898
130,0.9899
131,0.9900
132,0.9901
133,0.9902
134,0.9903
135,0.9904
136,0.9904
137,0.9905
138,0.9906
139,0.9907
140,0.9908
141,0.9909
142,0.9910
143,0.9910
144,0.9911
145,0.9912
146,0.9913
147,0.9913
148,0.9914
