#questioner_rep,count(*)
1,225209
2,3607
3,66082
4,11645
5,16489
6,125137
7,9087
8,58755
9,12033
10,22331
11,87186
12,13580
13,49515
14,13984
15,27367
16,53983
17,15994
18,38024
19,14948
20,24800
21,38534
22,16747
23,28860
24,15508
25,22056
26,30460
27,16715
28,24844
29,14121
30,20522
31,25662
32,15936
33,20718
34,14247
35,18317
36,22136
37,14689
38,19351
39,14229
40,16468
41,18750
42,13760
43,17670
44,13237
45,15228
46,16891
47,13723
48,16454
49,12498
50,14482
51,15226
52,12353
53,15113
54,13004
55,12932
56,15372
57,11658
58,13161
59,10510
60,12861
61,13987
62,11856
63,13163
64,10404
65,11612
66,12884
67,10487
68,12703
69,10364
70,11753
71,12340
72,10025
73,11559
74,10493
75,10113
76,10154
77,10082
78,9575
79,9277
80,10591
81,11220
82,9544
83,10379
84,9172
85,9530
86,10250
87,8426
88,9838
89,9201
90,8930
91,10265
92,8904
93,9678
94,7817
95,9765
96,9043
97,7654
98,9435
99,7411
100,8356
101,9584
102,8200
103,9703
104,7362
105,8490
106,8286
107,8996
108,8120
109,8568
110,8318
111,7490
112,7735
113,8574
114,8300
115,7502
116,8831
117,6924
118,7728
119,6989
120,6806
121,7382
122,7052
123,7753
124,6948
125,7048
126,7119
127,6906
128,8032
129,6458
130,7314
131,7925
132,6985
133,6652
134,6405
135,7026
136,7610
137,7670
138,6739
139,6602
140,6835
141,5805
142,6797
143,6828
144,5565
145,6837
146,6031
147,6732
148,5788
149,6249
150,5795
151,6263
152,7170
153,7317
154,6302
155,5212
156,6086
157,5962
158,6522
159,6225
160,6723
161,6652
162,6219
163,6050
164,6117
165,5148
166,5382
167,6178
168,5584
169,5786
170,5451
171,5677
172,4906
173,5996
174,6406
175,6497
176,6051
177,4930
178,6327
179,5489
180,4994
181,5469
182,5907
183,5258
184,4774
185,6446
186,5548
187,4855
188,5456
189,5225
190,5039
191,4813
192,4872
193,5169
194,5736
195,5162
196,4994
197,4546
198,4600
199,3860
200,2196
201,2064
202,2661
203,2178
204,2795
205,1958
206,2534
207,1881
208,2396
209,2472
210,2420
211,2368
212,2470
213,1886
214,2146
215,2034
216,2250
217,2810
218,2707
219,1961
220,3131
221,2352
222,2652
223,2242
224,1930
225,2251
226,2481
227,2297
228,2145
229,2179
230,2192
231,2370
232,2051
233,2906
234,2012
235,1907
236,3171
237,2187
238,2204
239,2295
240,1906
241,2437
242,2059
243,1810
244,2239
245,1953
246,2291
247,1888
248,1891
249,1723
250,2195
251,2301
252,1774
253,2418
254,2302
255,1190
256,2087
257,2096
258,1413
259,1419
260,2291
261,1928
262,1608
263,1332
264,1518
265,1832
266,1616
267,1869
268,1782
269,1546
270,2031
271,1500
272,1735
273,1391
274,1451
275,2128
276,1410
277,2073
278,1579
279,2470
280,1972
281,2135
282,1904
283,1996
284,1241
285,1671
286,1860
287,2196
288,1172
289,1750
290,1172
291,2003
292,2046
293,1982
294,1693
295,2103
296,1786
297,1339
298,1908
299,1785
300,4827
301,3874
302,5089
303,3757
304,3828
305,3861
306,3844
307,4157
308,4151
309,3834
310,4406
311,3830
312,3687
313,4157
314,4511
315,4601
316,4124
317,4335
318,3556
319,4608
320,4078
321,3065
322,3218
323,4406
324,3669
325,3823
326,4224
327,3653
328,3365
329,3066
330,3401
331,4330
332,3926
333,3474
334,3974
335,4262
336,3346
337,2800
338,3617
339,3082
340,3593
341,3615
342,3179
343,3306
344,5145
345,3677
346,3056
347,4316
348,3883
349,4256
350,3498
351,3486
352,3368
353,3936
354,3659
355,3807
356,2909
357,4225
358,2719
359,3341
360,4417
361,4031
362,3757
363,3020
364,3524
365,3407
366,2615
