#reputation,count(*)/1295620
1,0.5489
2,0.0007
3,0.0245
4,0.0029
5,0.0030
6,0.0499
7,0.0013
8,0.0174
9,0.0029
10,0.0035
11,0.0518
12,0.0015
13,0.0123
14,0.0018
15,0.0039
16,0.0159
17,0.0017
18,0.0075
19,0.0021
20,0.0031
21,0.0175
22,0.0016
23,0.0050
24,0.0014
25,0.0025
26,0.0102
27,0.0015
28,0.0037
29,0.0015
30,0.0020
31,0.0086
32,0.0013
33,0.0028
34,0.0012
35,0.0016
36,0.0061
37,0.0011
38,0.0023
39,0.0012
40,0.0014
41,0.0051
42,0.0010
43,0.0019
44,0.0010
45,0.0012
46,0.0038
47,0.0009
48,0.0016
49,0.0009
50,0.0011
51,0.0035
52,0.0007
53,0.0014
54,0.0008
55,0.0009
56,0.0027
57,0.0007
58,0.0012
59,0.0008
60,0.0008
61,0.0026
62,0.0006
63,0.0011
64,0.0006
65,0.0007
66,0.0020
67,0.0006
68,0.0010
69,0.0007
70,0.0007
71,0.0021
72,0.0005
73,0.0009
74,0.0006
75,0.0006
76,0.0015
77,0.0005
78,0.0007
79,0.0006
80,0.0006
81,0.0016
82,0.0005
83,0.0007
84,0.0005
85,0.0005
86,0.0013
87,0.0004
88,0.0006
89,0.0005
90,0.0005
91,0.0013
92,0.0004
93,0.0006
94,0.0004
95,0.0005
96,0.0010
97,0.0004
98,0.0005
99,0.0004
100,0.0004
101,0.0028
102,0.0003
103,0.0007
104,0.0004
105,0.0004
106,0.0010
107,0.0004
108,0.0006
109,0.0004
110,0.0004
111,0.0011
112,0.0003
113,0.0005
114,0.0003
115,0.0003
116,0.0008
117,0.0003
118,0.0005
119,0.0003
120,0.0003
121,0.0009
122,0.0003
123,0.0004
124,0.0003
125,0.0003
126,0.0007
127,0.0003
128,0.0004
129,0.0003
130,0.0003
131,0.0008
132,0.0003
133,0.0004
134,0.0003
135,0.0003
136,0.0006
137,0.0003
138,0.0004
139,0.0003
140,0.0003
141,0.0006
142,0.0003
143,0.0003
144,0.0003
145,0.0003
146,0.0005
147,0.0002
148,0.0003
149,0.0003
150,0.0003
151,0.0006
152,0.0002
153,0.0003
154,0.0003
155,0.0002
156,0.0004
157,0.0002
158,0.0003
159,0.0002
160,0.0002
161,0.0005
162,0.0002
163,0.0003
164,0.0002
165,0.0002
166,0.0004
167,0.0002
168,0.0003
169,0.0002
170,0.0002
171,0.0004
172,0.0002
173,0.0002
174,0.0002
175,0.0002
176,0.0004
177,0.0002
178,0.0003
179,0.0002
180,0.0002
181,0.0004
182,0.0002
183,0.0002
184,0.0002
185,0.0002
186,0.0003
187,0.0002
188,0.0002
189,0.0002
190,0.0002
191,0.0003
192,0.0002
193,0.0002
194,0.0002
195,0.0002
196,0.0003
197,0.0001
198,0.0002
199,0.0002
200,0.0001
201,0.0002
202,0.0001
203,0.0001
204,0.0001
205,0.0001
206,0.0002
207,0.0001
208,0.0001
209,0.0001
210,0.0001
211,0.0002
212,0.0001
213,0.0001
214,0.0001
215,0.0001
216,0.0001
217,0.0001
218,0.0001
219,0.0001
220,0.0001
221,0.0002
222,0.0001
223,0.0001
224,0.0001
225,0.0001
226,0.0001
227,0.0001
228,0.0001
229,0.0001
230,0.0001
231,0.0001
232,0.0001
233,0.0001
234,0.0001
235,0.0001
236,0.0001
237,0.0001
238,0.0001
239,0.0001
240,0.0001
241,0.0001
242,0.0001
243,0.0001
244,0.0001
245,0.0001
246,0.0001
247,0.0001
248,0.0001
249,0.0001
250,0.0001
251,0.0001
252,0.0001
253,0.0001
254,0.0001
255,0.0000
256,0.0001
257,0.0001
258,0.0001
259,0.0001
260,0.0001
261,0.0001
262,0.0001
263,0.0001
264,0.0001
265,0.0001
266,0.0001
267,0.0001
268,0.0001
269,0.0001
270,0.0001
271,0.0001
272,0.0000
273,0.0000
274,0.0001
275,0.0001
276,0.0001
277,0.0001
278,0.0001
279,0.0001
280,0.0001
281,0.0001
282,0.0000
283,0.0001
284,0.0000
285,0.0001
286,0.0001
287,0.0001
288,0.0000
289,0.0001
290,0.0000
291,0.0001
292,0.0001
293,0.0000
294,0.0000
295,0.0000
296,0.0001
297,0.0000
298,0.0001
299,0.0001
300,0.0001
301,0.0002
302,0.0001
303,0.0001
304,0.0001
305,0.0001
306,0.0002
307,0.0001
308,0.0001
309,0.0001
310,0.0001
311,0.0002
312,0.0001
313,0.0001
314,0.0001
315,0.0001
316,0.0002
317,0.0001
318,0.0001
319,0.0001
320,0.0001
321,0.0002
322,0.0001
323,0.0001
324,0.0001
325,0.0001
326,0.0002
327,0.0001
328,0.0001
329,0.0001
330,0.0001
331,0.0002
332,0.0001
333,0.0001
334,0.0001
335,0.0001
336,0.0001
337,0.0001
338,0.0001
339,0.0001
340,0.0001
341,0.0002
342,0.0001
343,0.0001
344,0.0001
345,0.0001
346,0.0001
347,0.0001
348,0.0001
349,0.0001
350,0.0001
351,0.0002
352,0.0001
353,0.0001
354,0.0001
355,0.0001
356,0.0001
357,0.0001
358,0.0001
359,0.0001
360,0.0001
361,0.0002
362,0.0001
363,0.0001
364,0.0001
365,0.0001
366,0.0001
367,0.0001
368,0.0001
369,0.0001
370,0.0001
371,0.0001
372,0.0001
373,0.0001
374,0.0001
375,0.0001
376,0.0001
377,0.0001
378,0.0001
379,0.0001
380,0.0001
381,0.0001
382,0.0001
383,0.0001
384,0.0001
385,0.0001
386,0.0001
387,0.0001
388,0.0001
389,0.0001
390,0.0001
391,0.0002
392,0.0001
393,0.0001
394,0.0001
395,0.0001
396,0.0001
397,0.0001
398,0.0001
399,0.0001
400,0.0001
401,0.0001
402,0.0001
403,0.0001
404,0.0001
405,0.0001
406,0.0001
407,0.0001
408,0.0001
409,0.0001
410,0.0001
411,0.0001
412,0.0001
413,0.0001
414,0.0001
415,0.0001
416,0.0001
417,0.0001
418,0.0001
419,0.0001
420,0.0001
421,0.0001
422,0.0001
423,0.0001
424,0.0001
425,0.0001
426,0.0001
427,0.0001
428,0.0001
429,0.0001
430,0.0001
431,0.0001
432,0.0001
433,0.0001
434,0.0001
435,0.0001
436,0.0001
437,0.0001
438,0.0001
439,0.0001
440,0.0001
441,0.0001
442,0.0001
443,0.0001
444,0.0001
445,0.0001
446,0.0001
447,0.0001
448,0.0001
449,0.0001
450,0.0001
451,0.0001
452,0.0001
453,0.0001
454,0.0001
455,0.0001
456,0.0001
457,0.0001
458,0.0001
459,0.0001
460,0.0001
461,0.0001
462,0.0001
463,0.0001
464,0.0001
465,0.0001
466,0.0001
467,0.0001
468,0.0001
469,0.0001
470,0.0001
471,0.0001
472,0.0001
473,0.0001
474,0.0001
475,0.0001
476,0.0001
477,0.0001
478,0.0001
479,0.0001
480,0.0000
481,0.0001
482,0.0001
483,0.0001
484,0.0001
485,0.0001
486,0.0001
487,0.0001
488,0.0001
489,0.0001
490,0.0001
491,0.0001
492,0.0001
493,0.0001
494,0.0001
495,0.0001
496,0.0001
497,0.0001
498,0.0001
499,0.0001
500,0.0001
501,0.0001
502,0.0001
503,0.0001
504,0.0000
505,0.0001
506,0.0001
507,0.0001
508,0.0001
509,0.0001
510,0.0001
511,0.0001
512,0.0001
513,0.0000
514,0.0001
515,0.0001
516,0.0001
517,0.0001
518,0.0000
519,0.0001
520,0.0001
521,0.0001
522,0.0001
523,0.0001
524,0.0000
525,0.0001
526,0.0001
527,0.0001
528,0.0001
529,0.0001
530,0.0000
531,0.0001
532,0.0001
533,0.0001
534,0.0001
535,0.0001
536,0.0001
537,0.0001
538,0.0001
539,0.0001
540,0.0001
541,0.0001
542,0.0000
543,0.0001
544,0.0001
545,0.0001
546,0.0001
547,0.0000
548,0.0000
549,0.0001
550,0.0001
551,0.0001
552,0.0001
553,0.0001
554,0.0001
555,0.0001
556,0.0001
557,0.0000
558,0.0001
559,0.0001
560,0.0001
561,0.0001
562,0.0000
563,0.0000
564,0.0000
565,0.0000
566,0.0001
567,0.0000
568,0.0000
569,0.0001
570,0.0000
571,0.0001
572,0.0001
573,0.0000
574,0.0000
575,0.0001
576,0.0001
577,0.0000
578,0.0000
579,0.0001
580,0.0001
581,0.0001
582,0.0000
583,0.0001
584,0.0000
585,0.0001
586,0.0001
587,0.0000
588,0.0001
589,0.0000
590,0.0001
591,0.0001
592,0.0001
593,0.0000
594,0.0000
595,0.0001
596,0.0001
597,0.0000
