#SELECT num_answers, num_q_answered, sum(churner), count(*) 
#    FROM churn_users
#    WHERE num_questions = 5
#    GROUP BY num_answers, num_q_answered
#    ORDER BY num_answers, num_q_answered;
#num_answers,num_q_answered,sum(churner),count(*)
0,0,1,13
0,1,6,145
0,2,35,866
0,3,198,3471
0,4,846,11148
0,5,3173,38159
1,0,0,1
1,1,2,33
1,2,7,273
1,3,56,1198
1,4,323,4601
1,5,1358,18837
2,0,0,2
2,1,0,15
2,2,0,122
2,3,30,629
2,4,154,2724
2,5,894,12724
3,1,0,17
3,2,0,69
3,3,11,381
3,4,124,1780
3,5,544,9060
4,0,0,1
4,1,0,12
4,2,0,41
4,3,13,293
4,4,68,1254
4,5,363,6977
5,1,1,14
5,2,0,47
5,3,6,212
5,4,55,1041
5,5,311,5866
6,1,0,15
6,2,0,39
6,3,6,195
6,4,33,866
6,5,240,5081
7,1,1,10
7,2,1,38
7,3,4,147
7,4,25,729
7,5,178,4481
8,1,0,6
8,2,1,36
8,3,6,118
8,4,20,691
8,5,152,4035
9,0,0,1
9,1,0,4
9,2,0,35
9,3,0,113
9,4,17,617
9,5,130,3717
10,1,0,2
10,2,0,29
10,3,1,97
10,4,8,571
10,5,119,3518
11,1,0,2
11,2,0,24
11,3,0,96
11,4,16,497
11,5,102,3250
12,1,0,1
12,2,0,20
12,3,0,91
12,4,10,499
12,5,69,3144
13,2,0,23
13,3,4,90
13,4,11,433
13,5,93,3005
14,2,0,22
14,3,0,93
14,4,10,409
14,5,66,2852
15,1,0,1
15,2,0,21
15,3,1,89
15,4,4,379
15,5,61,2681
