#score,count(*)
-166,1
-137,1
-132,1
-78,1
-59,1
-52,1
-51,1
-47,1
-45,1
-42,1
-40,1
-37,1
-31,1
-29,1
-28,2
-27,2
-26,1
-25,3
-24,1
-23,3
-22,4
-21,3
-20,2
-19,5
-18,6
-17,4
-16,11
-15,14
-14,16
-13,31
-12,43
-11,89
-10,133
-9,224
-8,524
-7,972
-6,1947
-5,3388
-4,7277
-3,14802
-2,36061
-1,123517
0,4168776
1,2673093
2,1354006
3,706573
4,394477
5,237513
6,152840
7,101918
8,71053
9,49184
10,38460
11,30286
12,23558
13,18478
14,15340
15,12534
16,10396
17,8691
18,7340
19,6336
20,5468
21,4825
22,4157
23,3666
24,3295
25,3071
26,2770
27,2379
28,2230
29,1964
30,1883
31,1692
32,1633
33,1349
34,1337
35,1244
36,1193
37,1032
38,988
39,933
40,843
41,786
42,741
43,739
44,637
45,639
46,633
47,562
48,493
49,465
50,491
51,486
52,440
53,409
54,381
55,403
56,340
57,327
58,338
59,292
60,299
61,284
62,287
63,276
64,235
65,254
66,236
67,232
68,230
69,178
70,212
71,214
72,189
73,183
74,166
75,151
76,174
77,171
78,141
79,131
80,130
81,130
82,140
83,114
84,127
85,124
86,112
87,126
88,126
89,87
90,98
91,103
92,94
93,87
94,94
95,103
96,84
97,88
98,66
99,63
100,67
101,63
102,79
103,77
104,78
105,65
106,62
107,59
108,48
109,59
110,59
111,60
112,52
113,49
114,58
115,52
116,59
117,49
118,42
119,47
120,42
121,52
122,43
123,44
124,31
125,41
126,48
127,39
128,41
129,44
130,32
131,44
132,37
133,29
134,26
135,56
136,30
137,23
138,19
139,43
140,32
141,34
142,30
143,30
144,28
145,32
146,30
147,26
148,23
149,23
150,23
151,20
152,17
153,23
154,23
155,19
156,22
157,33
158,26
159,18
160,22
161,19
162,34
163,24
164,14
165,12
166,16
167,19
168,18
169,25
170,23
171,17
172,18
173,28
174,18
175,13
176,19
177,13
178,6
179,21
180,16
181,12
182,17
183,9
184,16
185,13
186,19
187,22
188,8
189,18
190,15
191,14
192,13
193,17
194,11
195,12
196,12
197,10
198,18
199,12
200,11
201,13
202,17
203,13
204,12
205,8
206,8
207,11
208,8
209,11
210,13
211,11
212,4
213,14
214,15
215,12
216,9
217,10
218,10
219,5
220,6
221,11
222,10
223,13
224,11
225,12
226,13
227,9
228,9
229,10
230,9
231,10
232,16
233,7
234,9
235,8
236,9
237,3
238,5
239,7
240,10
241,13
242,3
243,9
244,7
245,3
246,3
247,8
248,8
249,6
250,2
251,9
252,4
253,7
254,5
255,8
256,8
257,5
258,10
259,7
260,6
261,2
262,4
263,10
264,4
265,5
266,7
267,4
268,5
269,5
270,5
271,2
272,4
273,5
274,9
275,4
276,3
277,1
278,2
279,7
280,3
281,7
282,6
283,3
284,6
285,5
286,5
287,2
288,4
289,3
290,5
291,3
292,9
293,6
294,4
295,3
296,9
297,4
298,4
299,4
300,2
301,1
302,2
303,3
304,4
305,4
306,6
307,1
308,8
309,3
310,7
311,3
312,3
313,3
314,5
315,6
316,3
317,6
318,7
319,1
320,2
322,6
323,5
324,2
325,4
326,4
327,10
328,8
329,3
330,4
331,7
332,3
333,2
334,5
335,3
336,1
337,4
338,3
339,6
340,5
341,3
342,3
343,5
344,3
345,4
346,3
347,3
348,2
349,4
350,2
351,2
352,3
353,4
354,4
355,3
356,1
357,2
358,1
360,1
361,1
362,2
363,4
364,1
365,3
366,1
367,5
368,2
369,2
370,3
371,1
