#churner,k,avg(gap1 )
0,1,44585.9617
0,2,45958.9907
0,3,45525.2307
0,4,44700.6503
0,5,43863.1929
0,6,43124.7274
0,7,42627.4638
0,8,41923.1524
0,9,41156.5067
0,10,40620.9891
0,11,40146.4637
0,12,39827.9618
0,13,39486.3725
0,14,39132.9577
0,15,38894.4722
0,16,38593.2283
0,17,38293.8453
0,18,37914.2024
0,19,37792.2014
0,20,37495.7202
1,1,17785.1131
1,2,28532.9059
1,3,33403.5507
1,4,35197.7970
1,5,35484.0593
1,6,33043.5995
1,7,32800.1606
1,8,33463.4150
1,9,33275.1545
1,10,32594.7778
1,11,29474.3761
1,12,28778.3022
1,13,30734.3815
1,14,31650.0327
1,15,28535.6021
1,16,27667.7392
1,17,32543.4495
1,18,31652.9156
1,19,26311.5520
1,20,30046.6365
