#time_for_first_ans,count(*)
0,10958
1,114303
2,214846
3,220385
4,189323
5,155056
6,127951
7,106770
8,90868
9,77880
10,67422
11,59490
12,52181
13,47027
14,42244
15,38339
16,34823
17,32307
18,29459
19,27188
20,25092
21,23707
22,21907
23,20504
24,19385
25,18324
26,17487
27,16086
28,15790
29,14774
30,13916
31,13384
32,12897
33,12134
34,11540
35,11232
36,10664
37,10284
38,10090
39,9445
40,9223
41,8865
42,8731
43,8403
44,8186
45,7867
46,7688
47,7311
48,7151
49,6848
50,6799
51,6623
52,6198
53,6072
54,6049
55,5894
56,5692
57,5554
58,5468
59,5334
60,5360
61,5182
62,5061
63,4887
64,4843
65,4791
66,4681
67,4521
68,4439
69,4416
70,4259
71,4046
72,4099
73,3945
74,3984
75,3793
76,3744
77,3749
78,3655
79,3655
80,3560
81,3517
82,3440
83,3350
84,3348
85,3260
86,3147
87,3177
88,3059
89,3076
90,3050
91,2988
92,2974
93,2800
94,2915
95,2809
96,2777
97,2717
98,2707
99,2624
100,2546
101,2509
102,2531
103,2490
104,2494
105,2453
106,2439
107,2455
108,2344
109,2357
110,2387
111,2239
112,2279
113,2216
114,2239
115,2200
116,2123
117,2064
118,2042
119,2121
120,1986
121,2019
122,1917
123,1982
124,1938
125,1970
126,1886
127,1831
128,1883
129,1924
130,1868
131,1845
132,1729
133,1765
134,1728
135,1755
136,1684
137,1722
138,1668
139,1661
140,1665
141,1620
142,1641
143,1598
144,1600
145,1580
146,1506
147,1539
148,1576
149,1452
150,1523
151,1525
152,1507
153,1479
154,1475
155,1477
156,1414
157,1386
158,1414
159,1375
160,1372
161,1417
162,1358
163,1346
164,1330
165,1367
166,1345
167,1295
168,1314
169,1325
170,1204
171,1311
172,1239
173,1308
174,1215
175,1249
176,1219
177,1242
178,1227
179,1198
180,1177
181,1160
182,1148
183,1105
184,1127
185,1063
186,1121
187,1143
188,1044
189,1093
190,1083
191,1115
192,1119
193,1144
194,1067
195,1039
196,1094
197,1066
198,1113
199,1030
200,1031
201,1029
202,961
203,1016
204,1032
205,991
206,1004
207,976
208,961
209,980
210,962
211,941
212,931
213,918
214,985
215,987
216,941
217,892
218,940
219,869
220,970
221,856
222,933
223,866
224,852
225,935
226,870
227,902
228,859
229,844
230,871
231,841
232,859
233,825
234,862
235,854
236,798
237,826
238,803
239,759
240,762
241,823
242,813
243,825
244,816
245,753
246,809
247,744
248,752
249,739
250,715
251,776
252,734
253,739
254,722
255,728
256,739
257,727
258,691
259,728
260,718
261,705
262,723
263,717
264,744
265,693
266,718
267,660
268,619
269,758
270,643
271,649
272,673
273,648
274,623
275,671
276,670
277,643
278,660
279,692
280,607
281,620
282,643
283,631
284,681
285,622
286,604
287,622
288,601
289,615
290,631
291,633
292,669
293,645
294,585
295,625
296,597
297,543
298,585
299,639
300,565
301,616
302,579
303,596
304,573
305,566
306,578
307,578
308,551
309,494
310,518
311,569
312,536
313,551
314,512
315,555
316,530
317,499
318,552
319,547
320,535
321,518
322,527
323,526
324,511
325,567
326,516
327,507
328,512
329,505
330,523
331,529
332,514
333,476
334,510
335,506
336,489
337,536
338,504
339,479
340,462
341,504
342,470
343,485
344,469
345,501
346,498
347,462
348,452
349,460
350,472
351,378
352,493
353,472
354,477
355,451
356,441
357,449
358,467
359,422
360,453
361,434
362,436
363,414
364,452
365,444
366,419
367,436
368,437
369,458
370,404
371,440
372,425
373,402
374,459
375,409
376,428
377,501
378,409
379,417
380,409
381,402
382,396
383,419
384,394
385,388
386,396
387,411
388,403
389,411
390,426
391,369
392,413
393,423
394,418
395,353
396,411
397,398
398,389
399,376
400,368
401,374
402,385
403,379
404,386
405,374
406,412
407,386
408,383
409,394
410,355
411,386
412,367
413,351
414,393
415,338
416,361
417,405
418,386
419,371
420,372
421,387
422,359
423,322
424,337
425,340
426,351
427,386
428,322
429,368
430,359
431,350
432,346
433,325
434,360
435,354
436,372
437,311
438,350
439,360
440,322
441,341
442,353
443,327
444,343
445,346
446,350
447,306
448,315
449,313
450,308
451,322
452,343
453,305
454,307
455,325
456,333
457,311
458,328
459,334
460,307
461,342
462,328
463,320
464,323
465,312
466,315
467,288
468,287
469,270
470,319
471,314
472,300
473,283
474,315
475,310
476,288
477,316
478,291
479,295
480,360
481,351
482,328
483,313
484,321
485,306
486,313
487,299
488,275
489,301
490,264
491,321
492,327
493,289
494,301
495,343
496,289
497,316
498,334
499,296
500,305
501,296
502,294
503,284
504,288
505,289
506,277
507,296
508,301
509,254
510,269
511,266
512,252
513,294
514,285
515,286
516,297
517,297
518,296
519,260
520,287
521,296
522,317
523,277
524,272
525,267
526,272
527,278
528,257
529,264
530,254
531,271
532,273
533,248
534,288
535,245
536,257
537,269
538,260
539,273
540,280
541,268
542,278
543,251
544,268
545,271
546,274
547,236
548,275
549,259
550,249
551,274
552,264
553,276
554,270
555,275
556,281
557,244
558,249
559,251
560,239
561,264
562,234
563,263
564,213
565,270
566,238
567,298
568,235
569,238
570,250
571,252
572,268
573,284
574,249
575,245
576,229
577,233
578,243
579,246
580,245
581,233
582,208
583,263
584,264
585,222
586,262
587,225
588,242
589,253
590,240
591,246
592,233
593,235
594,223
595,245
596,247
597,241
598,259
599,238
600,271
601,244
602,237
603,216
604,218
605,224
606,242
607,249
608,236
609,229
610,239
611,239
612,238
613,214
614,214
615,236
616,221
617,215
618,220
619,238
620,185
621,218
622,262
623,235
624,219
625,216
626,223
627,216
628,219
629,236
630,206
631,217
632,220
633,229
634,241
635,216
636,213
637,211
638,250
639,234
640,223
641,240
642,211
643,178
644,220
645,219
646,189
647,241
648,209
649,210
650,205
651,233
652,224
653,235
654,233
655,205
656,173
657,195
658,208
659,206
660,215
661,239
662,181
663,201
664,194
665,225
666,192
667,194
668,204
669,195
670,222
671,191
672,193
673,203
674,213
675,205
676,204
677,195
678,209
679,205
680,205
681,198
682,185
683,192
684,194
685,209
686,198
687,194
688,208
689,192
690,212
691,171
692,202
693,205
694,193
695,184
696,172
697,183
698,187
699,203
700,186
701,197
702,220
703,172
704,183
705,167
706,207
707,201
708,205
709,198
710,170
711,188
712,208
713,216
714,183
715,205
716,173
717,198
718,190
719,164
720,169
721,183
722,194
723,189
724,191
725,169
726,176
727,174
728,172
729,167
730,204
731,170
732,186
733,183
734,202
735,175
736,182
737,177
738,179
739,191
740,163
741,178
742,187
743,166
744,179
745,186
746,180
747,176
748,188
749,188
750,167
751,179
752,171
753,189
754,192
755,182
756,171
757,131
758,168
759,189
760,198
761,185
762,177
763,136
764,174
765,152
766,188
767,178
768,178
769,201
770,152
771,171
772,178
773,180
774,194
775,165
776,168
777,177
778,174
779,170
780,173
781,203
782,167
783,167
784,179
785,167
786,154
787,174
788,166
789,169
790,176
791,137
792,164
793,152
794,182
795,155
796,164
797,153
798,155
799,174
800,153
801,152
802,170
803,154
804,163
805,185
806,155
807,155
808,154
809,152
810,163
811,155
812,143
813,154
814,155
815,141
816,146
817,188
818,153
819,152
820,157
821,162
822,163
823,142
824,173
825,162
826,165
827,160
828,166
829,167
830,140
831,164
832,167
833,163
834,158
835,158
836,151
837,154
838,148
839,171
840,168
841,164
842,155
843,163
844,181
845,158
846,144
847,169
848,174
849,132
850,164
851,170
852,143
853,145
854,156
855,160
856,149
857,155
858,161
859,145
860,142
861,144
862,148
863,140
864,152
865,163
866,141
867,163
868,123
869,154
870,164
871,155
872,164
873,169
874,152
875,170
876,153
877,154
878,163
879,139
880,150
881,132
882,139
883,142
884,146
885,135
886,162
887,157
888,153
889,143
890,183
891,143
892,155
893,144
894,157
895,180
896,152
897,152
898,146
899,146
900,146
901,165
902,131
903,146
904,129
905,130
906,141
907,158
908,142
909,157
910,126
911,125
912,160
913,144
914,172
915,155
916,157
917,140
918,182
919,150
920,153
921,144
922,161
923,163
924,151
925,149
926,150
927,151
928,149
929,144
930,149
931,158
932,145
933,151
934,150
935,132
936,156
937,154
938,155
939,152
940,150
941,153
942,146
943,140
944,132
945,173
946,149
947,144
948,152
949,163
950,163
951,130
952,156
953,164
954,152
955,153
956,155
957,148
958,149
959,164
960,162
961,136
962,169
963,150
964,159
965,160
966,164
967,153
968,139
969,161
970,136
971,126
972,167
973,159
974,147
975,153
976,130
977,163
978,142
979,128
980,156
981,164
982,145
983,153
984,132
985,137
986,136
987,144
988,133
989,175
990,129
991,152
992,134
993,134
994,151
995,140
996,166
997,160
998,145
999,154
1000,166
1001,167
1002,143
1003,146
1004,133
1005,166
1006,143
1007,141
1008,162
1009,134
1010,143
1011,138
1012,162
1013,138
1014,154
1015,160
1016,131
1017,139
1018,152
1019,141
1020,149
1021,152
1022,143
1023,132
1024,157
1025,147
1026,137
1027,143
1028,168
1029,148
1030,145
1031,136
1032,159
1033,168
1034,153
1035,145
1036,148
1037,149
1038,154
1039,144
1040,136
1041,139
1042,137
1043,129
1044,150
1045,155
1046,149
1047,152
1048,141
1049,151
1050,154
1051,160
1052,131
1053,135
1054,137
1055,153
1056,159
1057,130
1058,154
1059,156
1060,147
1061,134
1062,132
1063,139
1064,152
1065,130
1066,147
1067,165
1068,113
1069,146
1070,146
1071,157
1072,124
1073,130
1074,159
1075,137
1076,125
1077,142
1078,135
1079,143
1080,139
1081,137
1082,161
1083,146
1084,138
1085,132
1086,156
1087,153
1088,141
1089,145
1090,144
1091,161
1092,130
1093,127
1094,167
1095,120
1096,134
1097,129
1098,129
1099,162
1100,171
1101,136
1102,132
1103,137
1104,147
1105,144
1106,162
1107,141
1108,163
1109,128
1110,117
1111,141
1112,130
1113,141
1114,147
1115,134
1116,136
1117,125
1118,127
