Field,Type,Null,Key,Default,Extra
num_posts_month,int(11),YES,,NULL,
gap1,int(11),YES,,NULL,
gap2,int(11),YES,,NULL,
gap3,int(11),YES,,NULL,
gap4,int(11),YES,,NULL,
gap5,int(11),YES,,NULL,
num_answers,int(11),YES,,NULL,
num_questions,int(11),YES,,NULL,
q_score,int(11),YES,,NULL,
a_score,int(11),YES,,NULL,
q_score_stddev,int(11),YES,,NULL,
a_score_stddev,int(11),YES,,NULL,
relative_rank_pos,int(11),YES,,NULL,
answering_speed,int(11),YES,,NULL,
tot_comments,int(11),YES,,NULL,
tot_rep_co_posters,int(11),YES,,NULL,
post_length,int(11),YES,,NULL,
